a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	1.39338992611	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	1.91508747481	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.64859351836	1.80416595555	1.71655693899	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.32516893551	2.14684220928	1.5122045999	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.989433504863	1.39741371939	1.82152330479	1.50947305626	1.05551596269	[]	[]	[]	[]
3	1	[]	[]	[]	[]	-1.51949955756	1.37802071651	1.96908672191	1.59382028165	-1.25446223446	[]	[]	[]	[]
4	0	[]	[]	[]	1.33360817737	0.622036214472	1.55865555492	1.67390524289	1.64996170093	0.705505718281	1.33654992875	[]	[]	[]
4	1	[]	[]	[]	0.937977823792	-1.88127884701	1.65244435895	1.78911931153	1.80201436755	-1.57195437397	0.943910354438	[]	[]	[]
5	0	[]	[]	2.69050577104	1.23305828708	0.964308922293	1.24807251898	1.24823634739	1.33256430497	1.0252400085	1.23687040707	2.69159765778	[]	[]
5	1	[]	[]	2.92971472436	1.28038531032	1.21512081327	1.69405936887	1.55089985301	1.7910443075	1.26161515506	1.28241594947	2.93160272155	[]	[]
6	0	[]	1.9993188455	1.93039392287	1.47628833594	-0.249529250603	1.19919293123	0.811915776904	1.24954787002	-0.0873986163042	1.47463133343	1.93056356192	1.998653701	[]
6	1	[]	2.46183764702	3.07534554203	0.732784323903	1.03541348198	1.49376210205	1.31150467268	1.51456014985	1.09719804662	0.738812116358	3.07715924695	2.46139533317	[]
7	0	[]	[]	2.88439156272	1.80833978771	1.22343683164	1.53672337265	1.02663700004	1.58781873877	1.27153222231	1.8069469686	2.88536211091	[]	[]
7	1	[]	[]	3.57796068181	1.58503689029	0.9963147621	1.63240272212	1.25040698933	1.66639029377	1.06660420785	1.58407699271	3.57986515033	[]	[]
8	0	[]	[]	[]	1.64926784884	1.85024050638	1.69179400311	1.27200748322	1.69358155055	1.84471696134	1.64743299822	[]	[]	[]
8	1	[]	[]	[]	2.24096606649	2.35524777193	1.93501659307	1.25771923575	1.94060545361	2.35877532505	2.23852616919	[]	[]	[]
9	0	[]	[]	[]	[]	1.8383643662	1.98366743757	1.4876054023	1.98489234585	1.83813338478	[]	[]	[]	[]
9	1	[]	[]	[]	[]	2.08616495762	2.73898612555	1.48629152268	2.74047606652	2.10943672056	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.0029791296	1.83436606649	2.00662779373	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	3.2424060391	2.7366569383	3.23970638438	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	1.98086868529	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	2.93349888188	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
