b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	2.3892896405	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	2.18346458235	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	3.4743745319	2.20073280145	1.72001327547	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.01834727448	1.89470312293	1.64239106203	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	3.14706372329	2.43999574854	1.76119584625	1.86032438007	2.19521742431	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.81057362398	1.77798024758	1.80208951496	2.23536519076	3.67287965521	[]	[]	[]	[]
4	0	[]	[]	[]	3.04358250982	1.91291861544	1.74993771232	1.78156013753	2.41195735101	2.75429404072	4.39423640192	[]	[]	[]
4	1	[]	[]	[]	2.06373770867	2.01830007692	1.82073840952	2.15555422004	2.92876036292	3.56417040821	4.06970591478	[]	[]	[]
5	0	[]	[]	1.61001767658	2.04381834834	1.71498981975	1.66352283714	1.62594516636	2.17470227988	2.6176493121	3.79327523798	3.36301173216	[]	[]
5	1	[]	[]	1.78130890087	2.00167988724	1.70854090559	1.63634723321	1.42351528755	1.80469705842	2.11872028842	2.55388116946	2.27903924902	[]	[]
6	0	[]	2.57788301777	2.0446487725	1.81618610826	1.64468453384	1.49161881194	1.53604805405	1.45567684425	1.58969464267	1.85616484282	1.82638301352	1.92486687618	[]
6	1	[]	2.14992155728	1.8646470037	1.64745641774	1.26444324861	1.30354610806	1.51999855465	1.44689762204	1.58059953132	1.63202803165	2.14960839278	2.79682854786	[]
7	0	[]	[]	1.71655693899	1.50947305626	1.64996170093	1.33256430497	1.24954787002	1.58781873877	1.69358155055	1.98489234585	2.00662779373	[]	[]
7	1	[]	[]	1.5122045999	1.59382028165	1.80201436755	1.7910443075	1.51456014985	1.66639029377	1.94060545361	2.74047606652	3.23970638438	[]	[]
8	0	[]	[]	[]	1.4127321567	1.596511992	1.74702139396	2.08502723011	2.01775115215	1.81378928803	1.76572369765	[]	[]	[]
8	1	[]	[]	[]	1.97714400593	1.90243902292	1.92452972236	1.99407660986	1.93550343914	0.618753685305	1.79229328246	[]	[]	[]
9	0	[]	[]	[]	[]	2.28908847972	2.16600846556	2.03178462388	1.79047667439	1.34306659261	[]	[]	[]	[]
9	1	[]	[]	[]	[]	1.64077840169	1.80051923383	1.77274716911	1.99040031633	2.07478308388	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	1.35023131835	1.74783472695	1.70439321818	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	1.44603176571	1.79441385356	2.30770289086	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	1.91175390778	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	2.31852063076	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
