c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-2.90586347395	[]	[]	[]
1	1	[]	[]	[]	-3.22015898255	[]	[]	[]
2	0	[]	[]	-2.99151826361	-5.25242754174	-2.95408774434	[]	[]
2	1	[]	[]	-3.43233731467	-6.69707453487	-3.25304682298	[]	[]
3	0	[]	-3.12126727203	-7.23825836838	-5.15823897705	3.35099245142	-3.28978989104	[]
3	1	[]	-4.30720658465	-6.04466171759	-5.92094389413	2.94277502775	-3.73692118429	[]
4	0	[]	[]	-2.78427038723	-5.19344760232	-3.12974270328	[]	[]
4	1	[]	[]	-3.27233446803	-6.55381283054	-3.37337932596	[]	[]
5	0	[]	[]	[]	-2.90298889425	[]	[]	[]
5	1	[]	[]	[]	-3.22025393128	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
