a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-3.62619074552	[]	[]	[]
1	1	[]	[]	[]	-4.59651653549	[]	[]	[]
2	0	[]	[]	-2.95408774434	3.35099245142	-3.12974270328	[]	[]
2	1	[]	[]	-3.25304682298	2.94277502775	-3.37337932596	[]	[]
3	0	[]	-3.56314628638	-4.2440701475	17.9541473653	-4.27931914431	-3.565508902	[]
3	1	[]	-3.52008529595	-4.07387578287	8.63699586806	-4.07254270961	-3.534671528	[]
4	0	[]	[]	-3.47533295476	9.89564782315	-3.34407805911	[]	[]
4	1	[]	[]	-3.02626817447	0.255844677695	-2.86062655609	[]	[]
5	0	[]	[]	[]	-4.41960908697	[]	[]	[]
5	1	[]	[]	[]	-4.00209159419	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
