b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-3.51855278885	[]	[]	[]
1	1	[]	[]	[]	-3.3828027851	[]	[]	[]
2	0	[]	[]	-2.78427038723	-3.98677849313	-3.34499029181	[]	[]
2	1	[]	[]	-3.27233446803	-3.87244187469	-2.95967083308	[]	[]
3	0	[]	-3.87911566798	-5.19344760232	-8.22966333456	-6.59805630405	-3.27873065667	[]
3	1	[]	-3.3644748926	-6.55381283054	-8.39246070175	-4.93545154058	-4.09283848394	[]
4	0	[]	[]	-3.12974270328	-4.27931914431	-3.34407805911	[]	[]
4	1	[]	[]	-3.37337932596	-4.07254270961	-2.86062655609	[]	[]
5	0	[]	[]	[]	-3.64447943633	[]	[]	[]
5	1	[]	[]	[]	-3.64312486746	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
