b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	3.84413178651	[]	[]	[]	[]
3	1	[]	[]	[]	[]	3.88469837076	[]	[]	[]	[]
4	0	[]	[]	[]	4.53253320026	3.41132392806	4.12437061774	[]	[]	[]
4	1	[]	[]	[]	4.2428035431	3.46139158586	4.52576822689	[]	[]	[]
5	0	[]	[]	[]	[]	3.9624703739	[]	[]	[]	[]
5	1	[]	[]	[]	[]	3.93763859298	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
