c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	3.64095615059	[]	[]	[]	[]
3	1	[]	[]	[]	[]	4.77129466987	[]	[]	[]	[]
4	0	[]	[]	[]	2.94303963411	3.69347860666	4.45019320474	[]	[]	[]
4	1	[]	[]	[]	3.65073921542	3.45789436017	4.75946520089	[]	[]	[]
5	0	[]	[]	[]	[]	3.62114693911	[]	[]	[]	[]
5	1	[]	[]	[]	[]	4.79956240827	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
