a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	2.05629497159	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	2.09764135316	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	3.1547423535	2.6638116806	3.07849205967	[]	[]	[]	[]
1	1	[]	[]	[]	[]	2.89507162926	2.82938602944	2.85463039123	[]	[]	[]	[]
2	0	[]	[]	[]	2.58427541753	1.95620391218	4.56639635503	1.9247447324	2.56380951918	[]	[]	[]
2	1	[]	[]	[]	3.11682204118	2.60815177669	3.98884750094	2.66580142889	3.21013490481	[]	[]	[]
3	0	[]	[]	1.9448552886	1.7764718583	2.54503801119	5.90792425051	2.48432567443	1.81570865967	1.99189946623	[]	[]
3	1	[]	[]	2.55384929514	2.2302508323	3.62442984873	3.44965023233	3.77652462355	2.33656274071	2.60331132868	[]	[]
4	0	[]	2.90607668682	0.744465370791	1.34624351354	1.68225819382	3.60713491313	1.57651804184	1.35346873158	0.741695009829	2.92187426995	[]
4	1	[]	2.60869013845	-0.743488996072	3.32939169692	2.51686701663	0.339637837708	2.70326969927	3.50963568364	-0.768728195787	2.62120708735	[]
5	0	2.29972080334	1.77784007618	-2.22289442276	2.01028327942	-0.111197345247	0.0	-0.222348314859	1.85869581737	-2.23476702	1.78789469233	2.30555164049
5	1	2.30891044629	1.84457006264	-2.57649164189	2.67663473918	1.7276457081	-0.622919936964	1.84630770487	2.79004161713	-2.59043819421	1.85028951986	2.31427342603
6	0	[]	2.50557195861	-0.640604143224	2.3285301497	0.728017263716	0.338297191904	0.598669636541	2.07220763126	-0.647874630602	2.50891651194	[]
6	1	[]	2.90846777421	0.849248849141	1.34113133043	2.92664739307	1.48383076198	2.93469236789	1.34295847957	0.852352150244	2.90864185096	[]
7	0	[]	[]	2.5154650243	1.4872946808	2.38946259238	2.91182177801	2.23625506373	1.33529860637	2.52574192974	[]	[]
7	1	[]	[]	1.64736630377	1.58615652434	2.99746199986	3.04730851723	2.93089652686	1.56052277896	1.63617140417	[]	[]
8	0	[]	[]	[]	2.34369755692	2.14339669754	3.15753013102	2.03884670147	2.27346014443	[]	[]	[]
8	1	[]	[]	[]	2.96490099703	2.02491828263	2.34094601707	1.96499115422	3.01335876448	[]	[]	[]
9	0	[]	[]	[]	[]	2.58956844595	2.20625436107	2.50678374522	[]	[]	[]	[]
9	1	[]	[]	[]	[]	3.29309490634	1.88017167671	3.29337958369	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	2.83288755187	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	3.46702474589	[]	[]	[]	[]	[]
