c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.5154650243	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.64736630377	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.23616419896	1.4872946808	2.96979778402	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.84258731451	1.58615652434	4.95389780255	[]	[]	[]	[]
4	0	[]	[]	[]	1.52671352816	0.336529507737	2.38946259238	0.71433125021	2.53507778569	[]	[]	[]
4	1	[]	[]	[]	-1.70079988599	1.65646660016	2.99746199986	1.7784003276	1.05891511504	[]	[]	[]
5	0	[]	[]	3.05687631994	2.18462299773	7.12964742513	2.91182177801	3.21486888529	4.08081380771	2.36385060456	[]	[]
5	1	[]	[]	3.97347138042	1.99078734632	4.03094512597	3.04730851723	4.89145694854	1.74913569128	2.18990486246	[]	[]
6	0	[]	[]	[]	1.44827107727	0.3147854128	2.23625506373	0.519664886335	2.71952614722	[]	[]	[]
6	1	[]	[]	[]	-1.8772380032	1.64639240349	2.93089652686	1.77442542338	1.76741009364	[]	[]	[]
7	0	[]	[]	[]	[]	2.1444813256	1.33529860637	3.0720299726	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.58085685561	1.56052277896	5.32851880444	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.52574192974	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.63617140417	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
