b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	2.06143117781	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	2.2347352045	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	2.89153738206	1.5654406567	2.31609430495	[]	[]	[]	[]
3	1	[]	[]	[]	[]	2.78357056904	1.56113681343	2.74104210208	[]	[]	[]	[]
4	0	[]	[]	[]	2.25815808352	2.5504985277	3.19084241049	2.34811781283	2.1444813256	[]	[]	[]
4	1	[]	[]	[]	2.21642237196	5.74644436033	8.12582213348	3.74705181285	2.58085685561	[]	[]	[]
5	0	[]	[]	2.56380951918	1.81570865967	1.35346873158	1.85869581737	2.07220763126	1.33529860637	2.27346014443	[]	[]
5	1	[]	[]	3.21013490481	2.33656274071	3.50963568364	2.79004161713	1.34295847957	1.56052277896	3.01335876448	[]	[]
6	0	[]	[]	[]	5.76573790566	1.99313521127	4.42245134787	2.89490989512	3.0720299726	[]	[]	[]
6	1	[]	[]	[]	3.79036308069	0.914312483318	1.19641083979	1.31113873295	5.32851880444	[]	[]	[]
7	0	[]	[]	[]	[]	3.07738936101	2.1283949383	2.4268455519	[]	[]	[]	[]
7	1	[]	[]	[]	[]	2.82038535548	2.00621596509	2.86401485482	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	2.34387781595	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	2.46660105446	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
