c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	10.9974372094	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	9.34576688883	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	8.14457619678	12.2825598391	9.34968120014	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	-1.58235848534	11.4815604559	1.68942463074	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	9.35857389203	10.7178084427	12.5141619724	13.3238936654	10.8192481988	[]	[]	[]	[]
6	1	[]	[]	[]	[]	3.78400640384	8.41554381146	11.3123072762	12.3381561144	9.25231223652	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	8.55876205164	12.2009435724	9.84647036514	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.270203561697	11.2456050043	3.33377670707	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	11.3033719965	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	10.0500774656	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
