b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	10.1029336165	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	10.0998922359	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	10.4845733693	9.47728292879	10.317466127	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	10.0205537388	9.72316873442	10.7966955448	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	9.6121639281	8.08091335361	4.90492837126	6.52670584815	10.2980404772	[]	[]	[]	[]
6	1	[]	[]	[]	[]	10.1445684376	6.74190759469	4.89629471392	8.44299451588	9.5457002996	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	10.3642380007	9.02109808438	9.84846196973	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	10.0473779259	9.2415140859	10.2939592114	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	9.54452624294	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	9.66160740158	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
