a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	13.9386274757	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	11.0179081215	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	14.0497265281	2.68760054712	14.0834764342	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	10.7642960626	-0.570473533713	10.9325658464	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	11.4269888491	-6.22960560924	-12.6745342184	-3.68446089866	11.4582611224	[]	[]	[]	[]
3	1	[]	[]	[]	[]	10.3452014253	-5.10060608333	-6.98605448328	-2.36246854896	10.6779832262	[]	[]	[]	[]
4	0	[]	[]	[]	14.7000963971	9.70577424451	-38.5264616069	-13.7878755628	-31.0103250421	10.2250880223	14.4839285478	[]	[]	[]
4	1	[]	[]	[]	12.9074475006	6.79150339136	-11.4132774913	0.369051653357	-7.95718981649	7.3635908705	12.930410024	[]	[]	[]
5	0	[]	[]	10.4845733693	4.33413197533	10.3979436838	-40.4417506533	-2.66833847351	-33.2133941265	10.7251557697	3.82183996515	10.6109335608	[]	[]
5	1	[]	[]	10.0205537388	-2.27890730285	2.73786174433	0.822199074588	9.3693692416	1.84162366545	3.79846040122	-3.92781134809	10.1052994077	[]	[]
6	0	[]	9.849300252	9.47728292879	-3.11416924061	12.0370599014	-4.84805873312	7.18861379474	-3.4683379738	11.9638032057	-4.55749695185	9.38549014552	9.75728233869	[]
6	1	[]	9.95903448544	9.72316873442	-7.81994631783	2.87180980493	12.3122851304	10.4025041914	12.1898473874	3.40005399643	-10.6628043842	9.60718373305	9.89826885488	[]
7	0	[]	[]	10.317466127	1.71933748296	11.9454941366	15.1301466243	11.9759315346	15.507772565	11.9086920828	1.00649887579	10.0781762328	[]	[]
7	1	[]	[]	10.7966955448	3.57780768829	6.10482888503	10.1287386921	10.7853874659	11.4669726541	6.04236315362	2.6975214393	10.4962871089	[]	[]
8	0	[]	[]	[]	12.7719977382	11.5142687297	8.67543533392	12.8076524527	12.0800778669	11.37984357	12.7075553045	[]	[]	[]
8	1	[]	[]	[]	15.1984502841	9.4369732276	9.6793188211	11.300883123	11.0482657217	9.48632722307	14.8445591236	[]	[]	[]
9	0	[]	[]	[]	[]	12.3797562824	11.3674406583	11.3216539148	12.9446301181	12.2920951251	[]	[]	[]	[]
9	1	[]	[]	[]	[]	12.2858197066	13.0438639758	9.03816778021	13.049567311	12.455375631	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	8.14457619678	10.7178084427	8.55876205164	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	-1.58235848534	8.41554381146	0.270203561697	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	9.23454241601	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	7.99385331686	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
