c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	9.83371846818	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	9.87274156939	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	9.849300252	9.30462553403	9.75489293173	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	9.95903448544	9.43957928731	9.8162749175	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	10.1029336165	9.47728292879	4.90492837126	9.02109808438	9.54452624294	[]	[]	[]	[]
2	1	[]	[]	[]	[]	10.0998922359	9.72316873442	4.89629471392	9.2415140859	9.66160740158	[]	[]	[]	[]
3	0	[]	[]	[]	10.6463239557	9.95745867393	-3.11416924061	13.1683723397	17.1101916798	7.379925868	9.62620812098	[]	[]	[]
3	1	[]	[]	[]	10.0448438439	10.5655726919	-7.81994631783	6.7223605442	14.0404036035	8.39675149483	8.99843690751	[]	[]	[]
4	0	[]	[]	10.5004899765	9.84671947913	-6.97885697812	12.0370599014	11.8779956467	11.8200221935	7.76892814464	7.72269221246	10.0289528569	[]	[]
4	1	[]	[]	9.75290764864	10.3274399562	-20.6104124609	2.87180980493	4.31178289765	5.38428840539	9.15646364878	8.50753871534	9.08736863244	[]	[]
5	0	[]	9.65911642172	8.90533230386	8.81741603096	8.83154877943	-4.84805873312	2.30169876351	2.67897327839	8.32512203923	1.55425477351	10.1236080575	10.1788986632	[]
5	1	[]	9.57478093423	9.0958408065	11.8626713603	10.4843341278	12.3122851304	11.1427397827	12.6959845358	10.2249993907	2.25338185128	9.99592988068	10.1642468171	[]
6	0	9.461776185	8.68711400841	6.88685221328	7.59115931742	-2.65160597337	7.18861379474	0.0	-7.76125160554	6.54853299916	7.94527133804	3.80044140453	10.0041295399	10.1027773527
6	1	9.60264335702	8.93746713465	8.20787051191	9.97370829399	10.4717155606	10.4025041914	12.4111829731	8.4312881234	12.1887192348	11.1503399436	4.85459320372	10.1194299296	10.2735176418
7	0	[]	9.56620217192	8.87812735654	9.32206141871	8.52459160891	-3.4683379738	4.06030107725	3.13606061238	8.77096232545	5.63461926921	9.90664440856	10.0941725477	[]
7	1	[]	9.50502342767	8.86303945855	11.4434467031	10.5495831005	12.1898473874	11.3602568168	12.9082270618	10.3490725425	5.16087156102	9.89974420352	10.1050098914	[]
8	0	[]	[]	10.4024905637	9.85077042477	-0.680002981201	11.9638032057	11.8075904061	11.5877487905	2.64310065255	7.05033637007	9.85289931153	[]	[]
8	1	[]	[]	9.63771942488	10.0882063876	-10.7770694731	3.40005399643	4.12899462201	5.07774837925	7.15226066761	8.25356556254	8.89538300119	[]	[]
9	0	[]	[]	[]	10.5005035506	9.89429861162	-4.55749695185	13.14866887	15.3633660252	6.93778330158	9.50508107129	[]	[]	[]
9	1	[]	[]	[]	9.99193068437	10.4977869476	-10.6628043842	6.17073040183	13.3145042136	8.17523470458	8.64041534795	[]	[]	[]
10	0	[]	[]	[]	[]	9.89493110247	9.38549014552	4.94103563072	8.85420921417	9.47753109087	[]	[]	[]	[]
10	1	[]	[]	[]	[]	10.0806071528	9.60718373305	4.98770527838	9.13206037201	9.39957333555	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	9.75728233869	9.22489279786	9.67535027632	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	9.89826885488	9.36297043176	9.71930412997	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	9.77666591203	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	9.8179945624	[]	[]	[]	[]	[]	[]
