b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	9.461776185	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	9.60264335702	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	9.68761081936	8.68711400841	9.77123683848	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	9.52897162186	8.93746713465	10.4251156609	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	5.42063166766	8.10888648678	6.88685221328	8.1225205245	9.7179895735	[]	[]	[]	[]
2	1	[]	[]	[]	[]	7.25794760193	8.99020314878	8.20787051191	9.89735323492	7.97848587217	[]	[]	[]	[]
3	0	[]	[]	[]	1.76499677034	7.09323177795	6.99372031815	7.59115931742	8.07244547791	9.21967067906	10.5805313503	[]	[]	[]
3	1	[]	[]	[]	1.84364451381	11.4810079215	10.7840599915	9.97370829399	5.32369677645	6.45638349596	12.6890413044	[]	[]	[]
4	0	[]	[]	11.9502725161	-1.78766409722	-20.4898870723	-23.1209493721	-2.65160597337	14.8220424677	15.2803538424	13.6792745526	9.35857389203	[]	[]
4	1	[]	[]	8.58032102888	2.29925168797	-0.0371537095081	4.5041048095	10.4717155606	11.682587556	11.9792821638	12.4927369748	3.78400640384	[]	[]
5	0	[]	13.9386274757	2.68760054712	-12.6745342184	-13.7878755628	-2.66833847351	7.18861379474	11.9759315346	12.8076524527	11.3216539148	10.7178084427	9.23454241601	[]
5	1	[]	11.0179081215	-0.570473533713	-6.98605448328	0.369051653357	9.3693692416	10.4025041914	10.7853874659	11.300883123	9.03816778021	8.41554381146	7.99385331686	[]
6	0	13.781428061	8.05441578521	2.97242277743	2.35394221779	2.76188437471	1.18350942538	0.0	3.21743963613	10.0460227276	13.4218770606	12.5141619724	11.7567785359	8.57521803043
6	1	11.8477913518	3.34164709953	-1.96704377003	2.01472834683	8.80165512606	11.6804237527	12.4111829731	11.814051831	11.3717615778	11.4692849007	11.3123072762	9.65285972253	1.38790248642
7	0	[]	10.3697548145	11.2507818148	9.2732428473	1.43822735194	-8.68918696571	-7.76125160554	5.32530837227	13.605627703	13.7575830326	13.3238936654	10.0666488368	[]
7	1	[]	11.4964850552	8.19373611343	7.5576017183	6.31362158674	5.69913426211	8.4312881234	11.5921960074	9.1858725763	9.3367618591	12.3381561144	-0.725981679931	[]
8	0	[]	[]	13.369326217	2.95146243468	-8.10981032594	-4.71482451512	6.54853299916	13.177065599	13.5682653441	11.5543379326	10.8192481988	[]	[]
8	1	[]	[]	11.6608651753	-3.13124929877	-8.37787874615	5.54204619148	12.1887192348	6.23574542791	7.24544209082	11.9093965614	9.25231223652	[]	[]
9	0	[]	[]	[]	8.6537895719	11.5034996329	11.9391124083	7.94527133804	-1.63794926916	0.392245532681	12.7168033799	[]	[]	[]
9	1	[]	[]	[]	11.0096637655	10.6456520035	11.5773046504	11.1503399436	9.63022263889	10.6502026392	12.7009335765	[]	[]	[]
10	0	[]	[]	[]	[]	12.6416100052	6.79744921788	3.80044140453	6.24721130882	11.8672127364	[]	[]	[]	[]
10	1	[]	[]	[]	[]	11.5367237588	6.23694609388	4.85459320372	8.96738402331	12.877156216	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	10.7325722879	10.0041295399	10.5411118395	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	10.6117550735	10.1194299296	11.1327075957	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	10.1027773527	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	10.2735176418	[]	[]	[]	[]	[]	[]
