c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.66754471548	[]	[]	[]
1	1	[]	[]	[]	1.36105407756	[]	[]	[]
2	0	[]	[]	1.47411298973	1.52070060871	1.81232688881	[]	[]
2	1	[]	[]	1.44490726702	1.62757335075	1.51026830077	[]	[]
3	0	[]	1.32681153757	1.29886402782	1.06336616101	1.30937626992	1.7284765993	[]
3	1	[]	1.14771773692	1.34342329896	0.762394959973	0.798930949581	1.37235776422	[]
4	0	[]	[]	1.4123492026	1.42339952747	1.69608033062	[]	[]
4	1	[]	[]	1.43435017972	1.57185514919	1.43461189492	[]	[]
5	0	[]	[]	[]	1.6493675994	[]	[]	[]
5	1	[]	[]	[]	1.35308737016	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
