a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.01216611685	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.13006381435	[]	[]	[]	[]
4	0	[]	[]	[]	0.944931391065	0.755066777206	0.974543887553	[]	[]	[]
4	1	[]	[]	[]	0.946450889165	0.938523186552	1.00135865433	[]	[]	[]
5	0	[]	[]	[]	[]	0.988766294063	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.954151889948	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
