b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.106998666	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.23861061587	[]	[]	[]	[]
4	0	[]	[]	[]	1.02060873853	1.15386225165	1.20847253543	[]	[]	[]
4	1	[]	[]	[]	1.25240239257	1.14335848595	0.904125703345	[]	[]	[]
5	0	[]	[]	[]	[]	1.38507231884	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.12530245164	[]	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
