c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.04225214425	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.86671153418	[]	[]	[]	[]
3	0	[]	[]	[]	0.84615468088	1.00745420593	1.23585113948	[]	[]	[]
3	1	[]	[]	[]	0.930608885458	1.29876823994	1.25961086102	[]	[]	[]
4	0	[]	[]	0.985543856328	0.3982585834	0.8365218933	0.966990740511	1.19345932582	[]	[]
4	1	[]	[]	0.935884256504	0.524722890566	0.614754414227	0.831258494847	0.889128558497	[]	[]
5	0	[]	[]	[]	0.802219071567	0.925104940779	1.10367020836	[]	[]	[]
5	1	[]	[]	[]	0.896469188778	1.22671021549	1.14856238353	[]	[]	[]
6	0	[]	[]	[]	[]	1.0217685794	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.856003753353	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
