b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	0.931731693375	[]	[]	[]	[]
0	1	[]	[]	[]	[]	1.15592199948	[]	[]	[]	[]
1	0	[]	[]	[]	1.01216611685	0.755066777206	0.988766294063	[]	[]	[]
1	1	[]	[]	[]	1.13006381435	0.938523186552	0.954151889948	[]	[]	[]
2	0	[]	[]	1.05209615373	0.701373054461	0.654841984184	0.77571805464	0.985543856328	[]	[]
2	1	[]	[]	1.19711493568	1.10974739449	0.885593453794	0.842116629859	0.935884256504	[]	[]
3	0	[]	0.994137562072	0.804676855861	0.47858897527	0.0313076684435	0.544377462197	0.3982585834	0.901711201222	[]
3	1	[]	1.37992335792	1.18782497476	0.698587674905	0.477597421002	0.588640686241	0.524722890566	1.00992241798	[]
4	0	1.05508964126	1.02294878814	0.695274456572	0.227327611398	0.0	0.286258419056	0.8365218933	0.969112693373	1.48144881507
4	1	1.26133533963	1.02280169736	0.798818119928	0.542486264905	0.0132620508589	0.0843008018836	0.614754414227	0.657117906115	1.26990533661
5	0	[]	1.07877650683	1.03566185396	0.546007591113	0.0735700019143	0.691254718009	0.966990740511	1.24015390557	[]
5	1	[]	0.935930702226	0.880110408669	0.59078274594	0.023823257355	0.102666616347	0.831258494847	0.969468817897	[]
6	0	[]	[]	1.01269506018	0.863867821577	0.696914543305	0.793661345572	1.19345932582	[]	[]
6	1	[]	[]	1.39471322698	0.810008585342	0.595153765398	0.685855947555	0.889128558497	[]	[]
7	0	[]	[]	[]	0.97594135084	1.07641042437	1.47811984771	[]	[]	[]
7	1	[]	[]	[]	1.18114401989	1.02652323238	0.995884178761	[]	[]	[]
8	0	[]	[]	[]	[]	1.01832815854	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.929643008441	[]	[]	[]	[]
