time	name	mols_cen	mols_sur	mols_outer	insize	outsize	a	b	c	molincell	Reorg(eV)
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	4	4	4	0	0.0
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	4	4	4	1	0.0132620508589
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	3	0	0.608325639304
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	3	1	1.21364495808
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	4	0	0.47858897527
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	4	1	0.698587674905
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	5	0	0.676114641003
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	3	5	1	1.34139952345
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	4	3	0	0.665105288574
Sat, 21 Jun 2014 01:45:28 +0000	Pc_cation_neut_inner4_outer0	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	['sp_Pc_mola_neut.xyz', 'sp_Pc_molb_neut.xyz']	4	0	3	4	3	1	0.5810663853
