a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	1.53155134144	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	1.7715373607	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	1.20885547979	1.03401816253	1.31987157647	[]	[]	[]	[]
3	1	[]	[]	[]	[]	1.39398678187	1.35891955733	1.48059466565	[]	[]	[]	[]
4	0	[]	[]	[]	1.45213280224	1.13175572403	0.818493167487	1.17560256585	1.46716835807	[]	[]	[]
4	1	[]	[]	[]	1.47454489581	1.26556440638	0.9851890729	1.35125100584	1.52816654806	[]	[]	[]
5	0	[]	[]	1.32433445126	1.29687173854	1.10692370681	0.711341798866	1.15063659878	1.30754850621	1.317336168	[]	[]
5	1	[]	[]	1.26018408831	1.55320194367	1.1208145089	1.08955230934	1.17487245212	1.54200174719	1.26010915159	[]	[]
6	0	[]	[]	[]	1.45082565275	1.22094829757	0.653645333335	1.20651260817	1.45357274237	[]	[]	[]
6	1	[]	[]	[]	1.18299286915	1.22605834106	0.857497965582	1.21752346856	1.18254137615	[]	[]	[]
7	0	[]	[]	[]	[]	1.50553914651	0.953020074275	1.45251595921	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.32405947438	0.958362773314	1.30320078221	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	1.28511315085	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	1.05201764886	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
