c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	1.48140913023	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	1.17752834241	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	1.29544606607	1.36139038549	1.63449772753	[]	[]	[]	[]
2	1	[]	[]	[]	[]	1.29165893387	1.48470962521	1.36721488399	[]	[]	[]	[]
3	0	[]	[]	[]	1.45082565275	1.31222351189	1.11883380158	1.23864614753	1.37526528843	[]	[]	[]
3	1	[]	[]	[]	1.18299286915	1.39082871117	1.18934456447	1.12222393915	1.31035494928	[]	[]	[]
4	0	[]	[]	1.37513935793	1.22094829757	0.998700926298	1.16470431329	1.07070194556	1.1283308261	1.52727452684	[]	[]
4	1	[]	[]	1.27125602422	1.22605834106	1.13273078262	1.02337053892	1.0340429488	1.07599356356	1.25296208823	[]	[]
5	0	[]	1.29575432393	1.07077164682	0.653645333335	0.602560752306	0.7371205734	0.751707463738	1.10461996163	1.25455313929	1.55276851217	[]
5	1	[]	1.41284566949	1.39455507153	0.857497965582	0.608153879796	0.164487522815	0.227521725553	0.684661617421	1.27112324555	1.21941349049	[]
6	0	[]	[]	1.3263329774	1.20651260817	0.969692805927	1.10779132187	0.936455242395	0.978157223494	1.4338984803	[]	[]
6	1	[]	[]	1.27131401235	1.21752346856	1.14723394147	1.01450359818	0.98158641007	0.968642351035	1.17308064827	[]	[]
7	0	[]	[]	[]	1.45357274237	1.34108987044	1.10236522645	1.23070357994	1.33009741057	[]	[]	[]
7	1	[]	[]	[]	1.18254137615	1.41534857714	1.17500817477	1.13108858981	1.28010560604	[]	[]	[]
8	0	[]	[]	[]	[]	1.29509306154	1.36422449279	1.64938521859	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.28614281078	1.49437465034	1.37312245195	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	1.47798536895	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	1.17263613902	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
