b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	1.317336168	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	1.26010915159	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.30033239148	1.27440089659	1.29509306154	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.40573898134	1.38933784042	1.28614281078	[]	[]	[]	[]
5	0	[]	[]	[]	1.24906865252	1.43892941422	1.1979902395	1.36422449279	1.30637357205	[]	[]	[]
5	1	[]	[]	[]	1.54828243881	1.40411011902	1.29352878839	1.49437465034	1.1352371525	[]	[]	[]
6	0	[]	[]	[]	[]	1.46791773446	1.30412915625	1.64938521859	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.28661625446	1.29669065643	1.37312245195	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	1.26698858367	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	1.25613777695	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
