a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	1.20533680178	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	1.13897889147	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	1.22975999867	1.36183072083	1.27803230432	[]	[]	[]	[]
1	1	[]	[]	[]	[]	1.34839702613	1.61773656133	1.37807031438	[]	[]	[]	[]
2	0	[]	[]	[]	1.40972225959	1.09730224539	1.35537661987	1.20096374371	1.45157466714	[]	[]	[]
2	1	[]	[]	[]	1.63044519176	1.13414063411	1.73531633176	1.24065962932	1.67675229065	[]	[]	[]
3	0	[]	[]	1.25421497699	1.1529055794	0.981100894299	0.740783565356	1.06625248872	1.19975246519	1.24906865252	[]	[]
3	1	[]	[]	1.54062473408	1.1987875042	1.1136760049	1.06997997963	1.20143883099	1.24570483917	1.54828243881	[]	[]
4	0	[]	1.2973872827	1.44065637578	1.0187802128	0.918636611581	0.505670096884	1.00331644531	1.03869638087	1.43892941422	1.29565964903	[]
4	1	[]	1.5303798315	1.40895418775	0.944025274586	0.891298751308	0.564284906949	0.99234552704	0.972572919727	1.40411011902	1.53602657515	[]
5	0	1.62224616076	1.42852073216	1.20092649371	1.04054585445	1.1193477097	0.0	1.11522676942	1.04431176563	1.1979902395	1.42805858853	1.62388712409
5	1	1.59980332923	1.4184630545	1.29441783521	1.05878854282	1.05549200692	0.431898016345	1.1097142479	1.06475468251	1.29352878839	1.41472656455	1.59829035978
6	0	[]	1.48140913023	1.36139038549	1.11883380158	1.16470431329	0.7371205734	1.10779132187	1.10236522645	1.36422449279	1.47798536895	[]
6	1	[]	1.17752834241	1.48470962521	1.18934456447	1.02337053892	0.164487522815	1.01450359818	1.17500817477	1.49437465034	1.17263613902	[]
7	0	[]	[]	1.31139596181	1.30501917198	1.04657160629	0.954446762099	0.937797611808	1.28536842812	1.30637357205	[]	[]
7	1	[]	[]	1.14212207977	1.61571039614	1.11011803967	0.744337383628	1.01933891751	1.62023543713	1.1352371525	[]	[]
8	0	[]	[]	[]	1.33967984655	1.11452001697	1.12577101358	1.0233771934	1.3542557575	[]	[]	[]
8	1	[]	[]	[]	1.25661783487	0.967723740662	1.08168838164	0.896577011624	1.25522784843	[]	[]	[]
9	0	[]	[]	[]	[]	1.52701774415	1.29190433145	1.43644666091	[]	[]	[]	[]
9	1	[]	[]	[]	[]	1.2480821326	0.861467122988	1.1528003133	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	1.61448470459	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	1.25422046883	[]	[]	[]	[]	[]
