b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	2.28717924426	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	2.22671814589	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	2.26911198131	2.2429114082	2.26537859981	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	2.37423925298	2.3573181781	2.25706034037	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	2.21869748047	2.40959700727	2.17005771592	2.33664870239	2.27969577708	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.51816969775	2.37357144206	2.26389414621	2.46528378976	2.10961663515	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	2.4404527926	2.2744105036	2.62005275632	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	2.2557916754	2.26913840056	2.34424261527	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	2.23644475594	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	2.2267520588	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
