c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	2.18507113669	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	2.30676199538	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	2.10399793715	1.91513769697	2.14134792592	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	2.23963671604	2.06775675941	2.10360317141	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	2.2783967114	2.4268097963	2.05089157416	1.91135812041	2.2615545724	[]	[]	[]	[]
6	1	[]	[]	[]	[]	2.42488564545	2.44682131167	2.230795817	2.03463308474	2.29530868887	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	2.22304444787	2.06112042092	2.22917333943	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	2.36028154723	2.21545817381	2.21465181052	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	2.25614361273	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	2.36603187078	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
