a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	2.07508263016	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	1.9433089623	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	2.00109840549	2.08288530164	2.1445985167	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	2.10404518095	2.45605443964	2.23756079133	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	2.18507113669	1.91513769697	2.05089157416	2.06112042092	2.25614361273	[]	[]	[]	[]
2	1	[]	[]	[]	[]	2.30676199538	2.06775675941	2.230795817	2.21545817381	2.36603187078	[]	[]	[]	[]
3	0	[]	[]	[]	2.39377952169	2.11155930465	1.97109718235	1.87920517292	2.07496018383	2.16703459024	2.42982079634	[]	[]	[]
3	1	[]	[]	[]	2.60298753262	2.16012548156	2.18831236797	1.98049142906	2.27182166806	2.22893656915	2.65567581443	[]	[]	[]
4	0	[]	[]	2.22199244896	2.13660802981	2.00826489136	1.84554738051	1.29618266804	1.94952275811	2.05038511549	2.17335952916	2.21869748047	[]	[]
4	1	[]	[]	2.5090009713	2.17531780826	2.11027480594	2.01417358178	1.93127635107	2.10894070209	2.15805505555	2.21582380337	2.51816969775	[]	[]
5	0	[]	2.26186899828	2.4069673611	2.00324037235	1.98440365398	1.97736179204	0.902594822616	2.02918767468	1.99116670797	2.0177115037	2.40959700727	2.26114168171	[]
5	1	[]	2.49695916898	2.37692410637	1.92587370322	1.97691339858	1.87995712169	1.22259984721	1.99350500649	1.99187910494	1.94213765308	2.37357144206	2.49915543484	[]
6	0	2.58473588639	2.39113580791	2.16629676371	2.02267201697	2.1438513753	2.04277999708	0.0	2.03861861829	2.15241974893	2.02823647028	2.17005771592	2.39584197426	2.59061592495
6	1	2.56291313834	2.38148504877	2.26110729039	2.04157642105	2.07063068343	2.02028352773	0.405328810205	2.05294808644	2.0891922752	2.04863794361	2.26389414621	2.38267921265	2.56449252151
7	0	[]	2.44109795771	2.32374797045	2.09958388551	2.15853329598	2.12390303533	1.08782997747	2.06305305489	2.13541347469	2.0875813727	2.33664870239	2.44893302923	[]
7	1	[]	2.13847328757	2.44879812871	2.1688485291	2.03479071964	1.93312997304	0.58926415852	1.92199731574	2.03072846989	2.15940018936	2.46528378976	2.14293704822	[]
8	0	[]	[]	2.27201113085	2.27056079301	2.02355669881	2.05066478726	1.82433950246	1.95520565454	1.98833317099	2.2665241401	2.27969577708	[]	[]
8	1	[]	[]	2.10341904337	2.58724209183	2.05988667388	1.96295640684	1.19708295963	1.89965233409	2.03557343	2.59619403463	2.10961663515	[]	[]
9	0	[]	[]	[]	2.29514298413	2.10407174164	1.960660678	2.1263658524	1.86091748832	2.04771019377	2.33606515202	[]	[]	[]
9	1	[]	[]	[]	2.21433062096	1.92388222686	1.96546302673	1.88023223367	1.87773980309	1.88439567585	2.23447820599	[]	[]	[]
10	0	[]	[]	[]	[]	2.43906934085	1.98338817969	2.18710421759	1.85338509963	2.40404995875	[]	[]	[]	[]
10	1	[]	[]	[]	[]	2.20813622995	1.72800237587	2.02516240765	1.61320740115	2.14863549355	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	2.30541605761	2.28411535216	2.22662523159	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	2.00842205253	2.02190499213	1.8977828097	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	2.34523446607	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	2.27989116767	[]	[]	[]	[]	[]	[]
