[[-1.2948117   0.01511162 -0.14546812]]
[[ 0.09070964  0.29854644  0.12026643]]
[[ 0.0448596  -0.12976854 -0.00313219]]
[[-0.20299993 -0.25955359  0.16010049]]
[[-0.06524874  0.00499993 -0.09615708]]
[[ 0.0424604   0.01343605 -0.05827804]]
[[-2.34622883  0.15192231 -0.2524603 ]]
[[ 0.10433024  0.29660014  0.1243492 ]]
[[-0.01013102 -0.0050157   0.07774422]]
[[-0.01059802  0.02269755  0.06488425]]
[[-0.53071979  0.23735281 -0.04866416]]
[[ 0.15547003  0.32439386  0.04891196]]
[[-0.0605774  -0.09061076 -0.01324668]]
[[-0.13228665 -0.49990511 -0.08853698]]
[[-0.02364433 -0.01906622 -0.07787863]]
[[ 0.02656229 -0.02664666 -0.06416893]]
[[ 0.28433736 -0.23535637  0.01484035]]
[[-0.17550746 -1.68909865 -0.26927097]]
[[ 0.0069682  -0.02367492  0.06626994]]
[[-0.01459486 -0.01027505  0.06505653]]
[[-0.01442622  0.00182205 -0.03880805]]
[[ 0.00962141  0.00406646 -0.02349175]]
[[-0.07139927  0.01068868 -0.06978929]]
[[ 0.07067509  0.01194365 -0.0459135 ]]
[[-3.26960739  0.10647229 -0.52176415]]
[[ 0.19300147  1.68523283  0.22542716]]
[[ 0.00586996  0.00601002  0.0573259 ]]
[[-0.00166784  0.03229681  0.0562216 ]]
[[ 0.0023211  -0.00137475  0.03595763]]
[[-0.00316008  0.00765209  0.02598844]]
[[-0.03325429  0.0254204  -0.06516705]]
[[ 0.02766     0.05299848 -0.03613395]]
[[-0.82930228  0.3943561  -0.11557639]]
[[ 0.30215683  0.50714989  0.04248621]]
[[-0.00510636  0.02858638  0.06210819]]
[[ 0.00833442  0.06616544  0.05028076]]
[[-0.15343701  0.2079889  -0.00681588]]
[[ 0.07566081  0.24574773  0.01822377]]
[[-0.02212106 -0.08805948 -0.01051156]]
[[ 0.00706054 -0.22323794 -0.03538849]]
[[-0.01037315 -0.03651976 -0.06170598]]
[[ 0.00710125 -0.05406189 -0.06840366]]
[[ 0.09149029 -0.27049362  0.01401258]]
[[-0.05784543 -0.3215513  -0.05246554]]
[[ 0.00245169 -0.03820814  0.04994317]]
[[-0.00366551 -0.0444514   0.0560616 ]]
[[-0.00480677 -0.00590979 -0.0412874 ]]
[[ 0.00450727 -0.00596472 -0.03662727]]
[[-0.00932985 -0.02383031 -0.04663824]]
[[ 0.03789079 -0.03021175 -0.04528172]]
[[ 0.85281546 -0.94195894  0.08141456]]
[[ 0.07107794 -0.30483774 -0.11382497]]
[[ 0.02707422 -0.02376006  0.04527538]]
[[-0.00949521 -0.01416368  0.04710828]]
[[ 0.00438171 -0.00790415  0.03846849]]
[[-0.00113225 -0.00112871  0.03668817]]
[[-0.00327899  0.00048903 -0.02303378]]
[[ 0.00250271 -0.00045201 -0.02388294]]
[[-0.01344752  0.00305144 -0.02304225]]
[[ 0.01362122 -0.0008221  -0.02122713]]
[[-0.06119622 -0.00128342 -0.064157  ]]
[[ 0.07868036  0.00887501 -0.04365162]]
[[-0.18777816  0.0011325  -0.07639254]]
[[ 0.43767481  0.10683586 -0.14046876]]
[[ 0.0280952   0.00905631  0.05583002]]
[[ 0.01058545  0.02971739  0.05403296]]
[[ 0.00567956  0.00186388  0.02198496]]
[[ 0.00088893  0.00332663  0.02207401]]
[[ 0.00243796 -0.00059825  0.02268651]]
[[  8.68771472e-05   2.56316462e-03   2.45965762e-02]]
[[-0.00524159  0.0080842  -0.03126126]]
[[ 0.00536351  0.00653966 -0.03673454]]
[[-0.04172893  0.04302711 -0.04015098]]
[[ 0.03839254  0.02451618 -0.03084583]]
[[-0.72918032  0.95485125  0.01075072]]
[[ 0.35980926  0.12836191  0.00709544]]
[[-0.00556799  0.05170707  0.03793394]]
[[ 0.02100996  0.03473754  0.03335651]]
[[ 0.00223967  0.00927734  0.0329864 ]]
[[ 0.00196064  0.01186869  0.04046569]]
[[-0.01371627  0.05249802 -0.03724648]]
[[ 0.01427413  0.02945495 -0.03832005]]
[[-0.15151433  0.34651238  0.01313228]]
[[ 0.11393322  0.08194192 -0.00221587]]
[[-0.00479482  0.05946023  0.04836161]]
[[ 0.01171401  0.03711485  0.04628102]]
[[-0.03062468  0.15864388  0.01589752]]
[[ 0.0266736   0.05422041  0.00394583]]
[[ 0.14517541 -0.2893737   0.01148387]]
[[ 0.01622646 -0.25196092 -0.05311862]]
[[ 0.00397837 -0.04649701 -0.05397832]]
[[ 0.03554161 -0.01447331 -0.0701125 ]]
[[ 0.88137836 -0.34099013  0.12436934]]
[[ 0.08147191 -0.23121247 -0.11954323]]
[[ 0.03473223 -0.03986399  0.04993698]]
[[ 0.00434759 -0.00477919  0.07304385]]
[[-0.00835941 -0.00150767 -0.02372019]]
[[ 0.01363284 -0.00171217 -0.03653038]]
[[-0.04396265 -0.00260358 -0.05586536]]
[[ 0.07501469 -0.00160097 -0.04573662]]
[[ 3.05377628 -0.15016528  0.48021011]]
[[ 0.32972599  0.2278095  -0.03862222]]
[[ 0.04083302  0.0065229   0.05448779]]
[[ 0.02911145  0.0136438   0.04971888]]
[[ 0.00783046  0.00086022  0.02339098]]
[[ 0.00596802  0.00423498  0.0381572 ]]
[[-0.03090419  0.03310284 -0.04508064]]
[[ 0.03654913  0.01243425 -0.05048376]]
[[-0.38014034  0.18766998 -0.03200319]]
[[ 0.28244015  0.07792546  0.00361628]]
[[ 0.00020453  0.04227843  0.04709295]]
[[ 0.0283481   0.02317333  0.0553681 ]]
[[-0.08015848  0.15345303  0.00108382]]
[[ 0.09165982  0.03322137  0.00210517]]
[[ 0.549848   -0.27726552  0.06530452]]
[[ 0.14435054 -0.18233014 -0.07251796]]
[[-0.02126067  0.00051036 -0.05217036]]
[[ 0.06254215 -0.00392377 -0.06729138]]
[[ 2.15081471 -0.03813917  0.24421525]]
[[ 0.30243797  0.17778879 -0.03275111]]
[[ 0.03854899  0.00580248  0.05879762]]
[[ 0.04205453  0.01167978  0.07276197]]
[[-0.21337514  0.21412157  0.00923275]]
[[  1.85531547e-01   2.11807372e-02  -5.73304394e-05]]
[[ 1.13696864  0.00411863  0.14266426]]
[[ 0.33694611  0.0800429  -0.00363907]]
