a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	0.52898934366	[]	[]	[]
1	1	[]	[]	[]	0.530977911033	[]	[]	[]
2	0	[]	[]	0.53573768631	0.465398390108	0.535512318113	[]	[]
2	1	[]	[]	0.544134015819	0.506404271055	0.545085329507	[]	[]
3	0	[]	0.635827647054	0.514640723279	0.444218153189	0.516002508627	0.636226703339	[]
3	1	[]	0.707243995093	0.560733058595	0.493168998353	0.561897756203	0.707488578684	[]
4	0	[]	[]	0.516905235248	0.431797896986	0.519634904029	[]	[]
4	1	[]	[]	0.610984634751	0.534264732036	0.611839968689	[]	[]
5	0	[]	[]	[]	0.47387401487	[]	[]	[]
5	1	[]	[]	[]	0.596016675211	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
