c\b	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.601513323821	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.584191485624	[]	[]	[]	[]
3	0	[]	[]	[]	0.583364757078	0.530429772736	0.545606244065	[]	[]	[]
3	1	[]	[]	[]	0.537063001096	0.521877300758	0.55955292517	[]	[]	[]
4	0	[]	[]	0.591041656284	0.506454240988	0.473787341486	0.515676262274	0.567826185014	[]	[]
4	1	[]	[]	0.534099350465	0.36392860585	0.399727529893	0.531636531591	0.579501381448	[]	[]
5	0	[]	[]	[]	0.579760529047	0.526682194951	0.54386018385	[]	[]	[]
5	1	[]	[]	[]	0.535609969916	0.5204414541	0.559926384825	[]	[]	[]
6	0	[]	[]	[]	[]	0.600168347712	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.583899130659	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
