b\a	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	0.749343764326	[]	[]	[]	[]
1	1	[]	[]	[]	[]	0.666168950708	[]	[]	[]	[]
2	0	[]	[]	[]	0.6350826045	0.599474222942	0.578972779682	[]	[]	[]
2	1	[]	[]	[]	0.570248882705	0.563259443112	0.590103773946	[]	[]	[]
3	0	[]	[]	0.579760529047	0.545786394335	0.523449799422	0.52386543622	0.53251767833	[]	[]
3	1	[]	[]	0.535609969916	0.517301268826	0.519363631363	0.534906643341	0.573809422943	[]	[]
4	0	[]	0.559541590347	0.526682194951	0.497446513323	0.49166666685	0.494982903576	0.504021841813	0.52301270412	[]
4	1	[]	0.551448885766	0.5204414541	0.509785520065	0.511629447343	0.524524123422	0.566157697408	0.624627562353	[]
5	0	[]	[]	0.54386018385	0.523496206998	0.517482640794	0.517151791584	0.525527292804	[]	[]
5	1	[]	[]	0.559926384825	0.54381292646	0.543755878035	0.574034680553	0.629305160743	[]	[]
6	0	[]	[]	[]	0.583529071783	0.56769979099	0.569659242428	[]	[]	[]
6	1	[]	[]	[]	0.595839275338	0.611727196706	0.659512712413	[]	[]	[]
7	0	[]	[]	[]	[]	0.672231847171	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.751844535176	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
