a\c	mol	0	1	2	3	4	5	6	7	8
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.567826185014	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.579501381448	[]	[]	[]	[]
3	0	[]	[]	[]	0.582759238514	0.543060874998	0.583529071783	[]	[]	[]
3	1	[]	[]	[]	0.594763829802	0.56136256122	0.595839275338	[]	[]	[]
4	0	[]	[]	0.670678485179	0.566255794054	0.534280023655	0.56769979099	0.671357759791	[]	[]
4	1	[]	[]	0.750171221664	0.610566356222	0.556345930358	0.611727196706	0.750589427545	[]	[]
5	0	[]	[]	[]	0.567589716269	0.525186166204	0.569659242428	[]	[]	[]
5	1	[]	[]	[]	0.658616198154	0.585260862668	0.659512712413	[]	[]	[]
6	0	[]	[]	[]	[]	0.532799144822	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.637732587582	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	[]	[]	[]
