c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.632820914271	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.616644470672	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.623372993811	0.575969651483	0.584137666891	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.589867653624	0.574312695549	0.598296490566	[]	[]	[]	[]
4	0	[]	[]	[]	0.616116379105	0.553826992912	0.516121038341	0.534606242116	0.576197583337	[]	[]	[]
4	1	[]	[]	[]	0.572812824517	0.532536889695	0.528939140816	0.556609521581	0.594548797591	[]	[]	[]
5	0	[]	[]	0.624587645001	0.559317865932	0.487354958868	0.469644073055	0.514493956525	0.551745944344	0.590273536147	[]	[]
5	1	[]	[]	0.584359320925	0.524636153327	0.369336081837	0.406682518105	0.533008067728	0.571610212775	0.605378179442	[]	[]
6	0	[]	[]	[]	0.614151719055	0.55093218931	0.512791569999	0.532857102723	0.575985248376	[]	[]	[]
6	1	[]	[]	[]	0.571657324857	0.530937914473	0.527004088551	0.556386467078	0.595244870703	[]	[]	[]
7	0	[]	[]	[]	[]	0.622057654898	0.574903099063	0.583595034647	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.589432186924	0.573940205057	0.598445174853	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.632361296479	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.616473504091	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
