c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	0.638891007052	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	0.702062378556	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	0.61712397987	0.583023520788	0.610245517677	[]	[]	[]	[]
2	1	[]	[]	[]	[]	0.635058487712	0.622978838808	0.692391037384	[]	[]	[]	[]
3	0	[]	[]	[]	0.611575898691	0.569884796291	0.550667071508	0.5635067538	0.602466907877	[]	[]	[]
3	1	[]	[]	[]	0.624305983563	0.580288637941	0.571378226515	0.610168020603	0.688302077203	[]	[]	[]
4	0	[]	[]	0.612497487639	0.561911705261	0.524315526516	0.500349037222	0.517709074006	0.552151704823	0.601047722328	[]	[]
4	1	[]	[]	0.624191103414	0.568453648865	0.538359304734	0.53184396738	0.553778431528	0.605794649636	0.688742567042	[]	[]
5	0	[]	0.621298252478	0.576426071312	0.54126423019	0.471188338014	0.230958670193	0.443396028934	0.523957127226	0.562801474683	0.608756796348	[]
5	1	[]	0.636087425089	0.586484889677	0.553750296964	0.501654071576	0.467104644058	0.526053633622	0.562828200808	0.614238887528	0.694120259676	[]
6	0	[]	[]	0.612109842045	0.561796829911	0.525023434555	0.502209199531	0.519919644411	0.553919024651	0.602383841131	[]	[]
6	1	[]	[]	0.623585288996	0.568414576648	0.539034266249	0.53244871805	0.554759264449	0.606849038397	0.689398545928	[]	[]
7	0	[]	[]	[]	0.611484056429	0.570041391269	0.551167992853	0.564353875493	0.603447374373	[]	[]	[]
7	1	[]	[]	[]	0.623933634635	0.580288819823	0.57153412106	0.610631137524	0.688774946358	[]	[]	[]
8	0	[]	[]	[]	[]	0.617148026792	0.583158474325	0.61053817748	[]	[]	[]	[]
8	1	[]	[]	[]	[]	0.634860567905	0.622897722421	0.692413462251	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	0.638884245536	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	0.701875421188	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
