b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.777478543225	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.69446405184	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.669530720088	0.633501643015	0.611484056429	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.611428412033	0.602399460928	0.623933634635	[]	[]	[]	[]
4	0	[]	[]	[]	0.622057654898	0.593257858375	0.572986405551	0.570041391269	0.571362474358	[]	[]	[]
4	1	[]	[]	[]	0.589432186924	0.574702472701	0.573322050563	0.580288819823	0.609161032073	[]	[]	[]
5	0	[]	[]	0.597830222049	0.574903099063	0.554542318923	0.552097058377	0.551167992853	0.550663167822	0.558711272002	[]	[]
5	1	[]	[]	0.596024175856	0.573940205057	0.567371732698	0.566503859717	0.57153412106	0.603430405223	0.654166562294	[]	[]
6	0	[]	[]	[]	0.583595034647	0.570005662763	0.566831088335	0.564353875493	0.566561179294	[]	[]	[]
6	1	[]	[]	[]	0.598445174853	0.585139525213	0.584356836422	0.610631137524	0.661726725205	[]	[]	[]
7	0	[]	[]	[]	[]	0.615661892647	0.60203010342	0.603447374373	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.625490789919	0.641215346572	0.688774946358	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.698778633367	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.778655735268	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
