c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.595469431823	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	0.604395496728	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.588338576521	0.556989588134	0.561826757337	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	0.574848843311	0.564935826098	0.592430300432	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.588832427124	0.55573214398	0.57660319652	0.569164603605	0.578852193449	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.577074244174	0.547732018221	0.579248089005	0.582203000254	0.603504973832	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.584029468605	0.551086658	0.557353442255	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.572986688153	0.561796110669	0.590861855043	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.593323029865	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	0.603551272033	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
