b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	[]	0.796347238226	[]	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	[]	0.714959250412	[]	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	[]	0.69252050237	0.656808417981	0.634351096881	[]	[]	[]	[]	[]
5	1	[]	[]	[]	[]	[]	0.63830988573	0.629163106365	0.652175455331	[]	[]	[]	[]	[]
6	0	[]	[]	[]	[]	0.649831592628	0.625349973363	0.603856517258	0.600588452416	0.606838186517	[]	[]	[]	[]
6	1	[]	[]	[]	[]	0.63400428446	0.614703433751	0.613364597898	0.640217274458	0.686465532526	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.642583717208	0.626866596146	0.627630793389	[]	[]	[]	[]	[]
7	1	[]	[]	[]	[]	[]	0.647043692966	0.662471619809	0.709284393934	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	0.717570687663	[]	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	[]	0.796194964605	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
