b\a	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	0.795827830906	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	0.713718934776	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.687403214022	0.652008644325	0.630088329927	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	0.628283875395	0.619713796498	0.642224687965	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.635520744015	0.606886100853	0.586627409759	0.584476879314	0.587067783993	[]	[]	[]	[]
3	1	[]	[]	[]	[]	0.597474502798	0.582892177071	0.582754597757	0.591685015636	0.621201896591	[]	[]	[]	[]
4	0	[]	[]	[]	0.602910213167	0.575320900344	0.55416826375	0.551969912615	0.553275258739	0.556235587416	0.562417361148	[]	[]	[]
4	1	[]	[]	[]	0.578069237681	0.557770260382	0.552069027198	0.554544549606	0.563702375854	0.579431408981	0.613833117771	[]	[]	[]
5	0	[]	[]	0.584029468605	0.554840105414	0.529298648874	0.522193431437	0.520704503012	0.524270800202	0.531095873361	0.538674640223	0.5481507608	[]	[]
5	1	[]	[]	0.572986688153	0.545625926241	0.531143704716	0.525730524758	0.529872861174	0.541416847866	0.557237900382	0.576874094422	0.614909238417	[]	[]
6	0	[]	0.577447359566	0.551086658	0.523473896085	0.511735150246	0.503248891422	0.500453754618	0.504725642543	0.51349337171	0.522709433906	0.530352455662	0.545165329291	[]
6	1	[]	0.594188919931	0.561796110669	0.542971031415	0.529774140174	0.52399572742	0.526903362488	0.536625231531	0.549966243862	0.56644845879	0.60815899062	0.665925823956	[]
7	0	[]	[]	0.557353442255	0.538765651994	0.529477834897	0.522449393768	0.519066950212	0.519978728048	0.523790682979	0.528387131844	0.537750176098	[]	[]
7	1	[]	[]	0.590861855043	0.567563483192	0.554396905066	0.548096364846	0.54806235498	0.553530812714	0.564806456661	0.601842970801	0.6600193159	[]	[]
8	0	[]	[]	[]	0.572230056983	0.55737121362	0.552143315512	0.548880220149	0.547094122081	0.546495537791	0.551714203601	[]	[]	[]
8	1	[]	[]	[]	0.600023045708	0.581768421485	0.573815836023	0.572213619858	0.577354429374	0.608931476431	0.663262922063	[]	[]	[]
9	0	[]	[]	[]	[]	0.59634794438	0.583100848211	0.579150268502	0.576179838681	0.578322134031	[]	[]	[]	[]
9	1	[]	[]	[]	[]	0.614735252968	0.600764095891	0.599484855921	0.625596804716	0.676251052086	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	0.633557858428	0.619254678741	0.620210937677	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	0.643456708062	0.658910065584	0.705785257003	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	0.716771837826	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	0.795868581129	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
