a\c	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	0.583396606504	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	0.607613321075	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	[]	0.596040937887	0.567387181063	0.59634794438	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]	0.614163015778	0.589470351933	0.614735252968	[]	[]	[]	[]	[]
5	0	[]	[]	[]	[]	0.631140346559	0.582484362477	0.561444351311	0.583100848211	0.631691765276	[]	[]	[]	[]
5	1	[]	[]	[]	[]	0.641199586349	0.600153691157	0.581340631261	0.600764095891	0.641726344349	[]	[]	[]	[]
6	0	[]	[]	[]	0.714736981028	0.617454635793	0.578286881773	0.557245558314	0.579150268502	0.618169231134	0.71508840495	[]	[]	[]
6	1	[]	[]	[]	0.794566794892	0.656797896692	0.598851721985	0.578667121745	0.599484855921	0.657351587751	0.794728200962	[]	[]	[]
7	0	[]	[]	[]	[]	0.618541268302	0.575116388718	0.552960021766	0.576179838681	0.619413701291	[]	[]	[]	[]
7	1	[]	[]	[]	[]	0.704242570297	0.624930526938	0.583026871197	0.625596804716	0.704715274674	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.577085190004	0.551055247748	0.578322134031	[]	[]	[]	[]	[]
8	1	[]	[]	[]	[]	[]	0.675734396252	0.61358941082	0.676251052086	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	0.554958435901	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	0.666750509285	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
11	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
12	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
