time	name	mols_cen	mols_sur	mols_outer	insize	outsize	a	b	c	molincell	Reorg(eV)
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	1	1	1	0	0.0
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	1	1	1	1	-2.36416818841
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	1	1	1	2	-2.81910680254
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	1	1	1	3	-1.0548015823
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	0	0	[]
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	0	1	[]
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	0	2	[]
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	0	3	[]
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	1	0	[]
Sat, 21 Jun 2014 02:01:34 +0000	Sexithiophene_cation_neut_inner1_outer0	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	['sp_sexithiophene_mola_neut.xyz', 'sp_sexithiophene_molb_neut.xyz', 'sp_sexithiophene_molc_neut.xyz', 'sp_sexithiophene_mold_neut.xyz']	1	0	0	0	1	1	[]
