a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	-0.0617279445445	[]	[]
1	1	[]	[]	-0.487517321443	[]	[]
1	2	[]	[]	0.67616356692	[]	[]
1	3	[]	[]	1.06379480474	[]	[]
2	0	[]	-0.643398647906	1.67191975206	0.117014989408	[]
2	1	[]	-2.00839715048	-0.113583930003	-1.71432780535	[]
2	2	[]	-0.730038065043	-1.15873165116	-1.33014914332	[]
2	3	[]	-2.41256690695	-3.67119298776	-0.0685776838938	[]
3	0	[]	[]	-0.0849550008931	[]	[]
3	1	[]	[]	-0.495751268911	[]	[]
3	2	[]	[]	0.708134308617	[]	[]
3	3	[]	[]	1.09241143472	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
