c\b	mol	0	1	2	3	4
0	0	[]	[]	-2.30954435116	[]	[]
0	1	[]	[]	-1.07413251081	[]	[]
0	2	[]	[]	0.057608612282	[]	[]
0	3	[]	[]	-2.09023381339	[]	[]
1	0	[]	-0.643398647906	-1.13513806817	-1.21356386802	[]
1	1	[]	-2.00839715048	-2.02415329477	-0.775830802209	[]
1	2	[]	-0.730038065043	-3.46414266411	-1.89608974066	[]
1	3	[]	-2.41256690695	-1.20056689208	-0.991042183709	[]
2	0	0.291937744036	1.67191975206	0.0	-0.860411959317	-0.477905452928
2	1	0.743415400707	-0.113583930003	-1.09745793773	-0.881172952414	-0.570434179395
2	2	-1.2472997136	-1.15873165116	-0.896279959494	-0.617539169191	-0.644443132741
2	3	-1.59628680189	-3.67119298776	-1.87841021474	-3.66231219745	-1.73955634509
3	0	[]	0.117014989408	-0.997014593055	-1.09017943483	[]
3	1	[]	-1.71432780535	-2.23177284163	-1.08436264008	[]
3	2	[]	-1.33014914332	-1.48698835034	-1.11509196937	[]
3	3	[]	-0.0685776838938	0.0610248068177	-0.328316323611	[]
4	0	[]	[]	-0.390136938397	[]	[]
4	1	[]	[]	-1.17965886779	[]	[]
4	2	[]	[]	-0.919934524117	[]	[]
4	3	[]	[]	-0.225373477884	[]	[]
