b\a	mol	0	1	2	3	4
0	0	[]	[]	0.291937744036	[]	[]
0	1	[]	[]	0.743415400707	[]	[]
0	2	[]	[]	-1.2472997136	[]	[]
0	3	[]	[]	-1.59628680189	[]	[]
1	0	[]	-0.0617279445445	1.67191975206	-0.0849550008931	[]
1	1	[]	-0.487517321443	-0.113583930003	-0.495751268911	[]
1	2	[]	0.67616356692	-1.15873165116	0.708134308617	[]
1	3	[]	1.06379480474	-3.67119298776	1.09241143472	[]
2	0	1.63691212623	0.523142394857	0.0	0.493151691035	1.6294508827
2	1	0.478126793271	-0.738953022707	-1.09745793773	-0.731008373056	0.484973961552
2	2	0.580682719771	-0.87302626688	-0.896279959494	-0.786689364214	0.591636218769
2	3	1.31127712048	0.777336722128	-1.87841021474	0.759674163992	1.3085228621
3	0	[]	0.0914750580702	-0.860411959317	0.0717185164431	[]
3	1	[]	0.25568746248	-0.881172952414	0.299900347199	[]
3	2	[]	-0.585519076279	-0.617539169191	-0.52289151228	[]
3	3	[]	-0.319665923022	-3.66231219745	-0.303090512675	[]
4	0	[]	[]	-0.477905452928	[]	[]
4	1	[]	[]	-0.570434179395	[]	[]
4	2	[]	[]	-0.644443132741	[]	[]
4	3	[]	[]	-1.73955634509	[]	[]
