[[-1.54561897 -0.12237103  0.30497864]]
[[-0.77571148 -0.6778367  -0.01175251]]
[[-0.04442952 -0.01709163 -0.14946777]]
[[-2.8089225  -0.75749168  0.54774868]]
[[-0.07115228  0.05087805  0.27212692]]
[[ 0.15371498 -0.0588821  -0.23980405]]
[[-0.23572177 -1.2632369  -0.25699977]]
[[-0.00198871 -0.12959764 -0.24900817]]
[[-1.08459164 -2.31592677 -0.40289442]]
[[ 0.00297437 -0.00099226  0.16266431]]
[[ 0.00466884 -0.02535348 -0.12379265]]
[[-0.02736858 -0.05148145 -0.14416734]]
[[ -2.48344234e-15  -4.54705476e-15  -5.97105146e-16]]
[[ 0.02736858  0.05148145  0.14416734]]
[[-0.00466884  0.02535348  0.12379265]]
[[-0.00297437  0.00099226 -0.16266431]]
[[ 1.08459164  2.31592677  0.40289442]]
[[ 0.00198871  0.12959764  0.24900817]]
[[ 0.23572177  1.2632369   0.25699977]]
[[-0.15371498  0.0588821   0.23980405]]
[[ 0.07115228 -0.05087805 -0.27212692]]
[[ 2.8089225   0.75749168 -0.54774868]]
[[ 0.04442952  0.01709163  0.14946777]]
[[ 0.77571148  0.6778367   0.01175251]]
[[ 1.54561897  0.12237103 -0.30497864]]
