a\c	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	-0.187972355623	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	0.464956466615	0.0989467577247	0.458263855523	[]	[]	[]	[]
5	0	[]	[]	[]	0.718384023971	0.568018649517	0.349069423931	0.554216739031	0.710537014852	[]	[]	[]
6	0	[]	[]	[]	[]	0.637937133937	0.488041369575	0.626997543404	[]	[]	[]	[]
7	0	[]	[]	[]	[]	[]	0.603464699694	[]	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
