c\b	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.713766139483	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.603764308796	0.624657084116	0.663054106126	[]	[]	[]	[]
4	0	[]	[]	[]	0.334528575758	0.399999399162	0.505411567122	0.574846673099	0.628176165028	[]	[]	[]
5	0	[]	[]	-0.187972355623	-0.200255282691	0.00443229659287	0.2710474918	0.424546777128	0.546276526337	0.603464699694	[]	[]
6	0	[]	[]	[]	0.320783834024	0.359433760581	0.462414600275	0.548590936731	0.620493533297	[]	[]	[]
7	0	[]	[]	[]	[]	0.592809114841	0.614915542567	0.655995659854	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.707663390944	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
