b\a	mol	0	1	2	3	4	5	6	7	8	9	10
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	0.710537014852	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	0.610452310049	0.637438543229	0.675337877195	[]	[]	[]	[]
4	0	[]	[]	[]	0.592809114841	0.602608714141	0.616739611845	0.633826876328	0.663054106126	[]	[]	[]
5	0	[]	[]	0.654139902976	0.614915542567	0.610799746775	0.613560557674	0.617163235006	0.624657084116	0.663206377519	[]	[]
6	0	[]	[]	[]	0.655995659854	0.631158319903	0.62039262159	0.611529832555	0.603764308796	[]	[]	[]
7	0	[]	[]	[]	[]	0.67632002791	0.64392126798	0.620763989501	[]	[]	[]	[]
8	0	[]	[]	[]	[]	[]	0.718384023971	[]	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
10	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
