a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	5.47265499197	[]	[]	[]
1	1	[]	[]	[]	0.290371355093	[]	[]	[]
2	0	[]	[]	-2.99151826361	-7.23825836838	-2.78427038723	[]	[]
2	1	[]	[]	-3.43233731467	-6.04466171759	-3.27233446803	[]	[]
3	0	[]	-3.52952632926	-3.98555510268	-8.27255406117	-3.98677849313	-3.55228777688	[]
3	1	[]	-3.45048298543	-3.82090794405	-3.26712638125	-3.87244187469	-3.45163186216	[]
4	0	[]	[]	-3.19144433057	-8.20409648958	-3.34499029181	[]	[]
4	1	[]	[]	-2.73057828526	-6.84607258609	-2.95967083308	[]	[]
5	0	[]	[]	[]	-0.161812308567	[]	[]	[]
5	1	[]	[]	[]	9.39649590577	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
