b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	-3.4180122776	[]	[]	[]
1	1	[]	[]	[]	-3.42481185783	[]	[]	[]
2	0	[]	[]	-2.99151826361	-3.98555510268	-3.19144433057	[]	[]
2	1	[]	[]	-3.43233731467	-3.82090794405	-2.73057828526	[]	[]
3	0	[]	-3.81969434332	-5.25242754174	-8.34992742715	-6.74892392544	-3.18359914984	[]
3	1	[]	-3.25645687153	-6.69707453487	-8.54556591021	-5.00465973019	-3.93596409196	[]
4	0	[]	[]	-2.95408774434	-4.2440701475	-3.47533295476	[]	[]
4	1	[]	[]	-3.25304682298	-4.07387578287	-3.02626817447	[]	[]
5	0	[]	[]	[]	-3.67930877701	[]	[]	[]
5	1	[]	[]	[]	-3.56687453209	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
