b\a	mol	0	1	2	3	4
0	0	[]	[]	1.12140044513	[]	[]
0	1	[]	[]	1.08958879015	[]	[]
1	0	[]	0.787466095448	0.432416178358	0.851890051693	[]
1	1	[]	0.840042297458	0.993845902219	1.07280410936	[]
2	0	0.737163168462	0.628918079532	0.0	0.525301067798	1.12904746047
2	1	0.885127801421	0.816849370922	1.03282861329	0.0435715019191	0.784490442068
3	0	[]	0.560566257285	0.321767377937	1.14290871756	[]
3	1	[]	1.13425581678	-0.143021833171	0.686656853691	[]
4	0	[]	[]	0.81767659395	[]	[]
4	1	[]	[]	0.401195466692	[]	[]
