c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	1.84537023755	[]	[]	[]
0	1	[]	[]	[]	1.82011012758	[]	[]	[]
1	0	[]	[]	1.5956183663	1.64099626469	1.87399611241	[]	[]
1	1	[]	[]	1.72823800787	1.62505181363	1.60885447102	[]	[]
2	0	[]	1.48146053888	1.42545715857	1.32763511813	1.4720016589	1.47596944573	[]
2	1	[]	1.42988542339	1.51244068069	1.381444255	1.42238408292	1.42291201527	[]
3	0	1.5429657343	1.26514302673	0.89226120158	0.0	1.01091597386	1.56754637573	1.5638982194
3	1	1.53061224279	1.62138511332	0.967964172136	0.365076182416	0.672395785514	1.26954487947	1.5675416256
4	0	[]	1.50770790395	1.42614736687	1.32855260282	1.4254520641	1.41323302765	[]
4	1	[]	1.46967051211	1.57499153226	1.45773516853	1.44339348235	1.41146846516	[]
5	0	[]	[]	1.58632214862	1.63183952483	1.86106085318	[]	[]
5	1	[]	[]	1.72864235793	1.6231269762	1.60350607058	[]	[]
6	0	[]	[]	[]	1.84231265282	[]	[]	[]
6	1	[]	[]	[]	1.81960169693	[]	[]	[]
