a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.07066757743	[]	[]	[]
1	1	[]	[]	[]	1.32023008313	[]	[]	[]
2	0	[]	[]	1.57995372335	1.3949338298	1.64570863501	[]	[]
2	1	[]	[]	1.41605332917	1.17328765554	1.47961237136	[]	[]
3	0	[]	1.87399611241	1.4720016589	1.01091597386	1.4254520641	1.86106085318	[]
3	1	[]	1.60885447102	1.42238408292	0.672395785514	1.44339348235	1.60350607058	[]
4	0	[]	[]	1.86251254836	1.32070392315	1.73851153201	[]	[]
4	1	[]	[]	1.54931646358	0.808180551036	1.46962475047	[]	[]
5	0	[]	[]	[]	1.82007737872	[]	[]	[]
5	1	[]	[]	[]	1.82453182333	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
