b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.50770790395	[]	[]	[]
1	1	[]	[]	[]	1.46967051211	[]	[]	[]
2	0	[]	[]	1.48361705992	1.42614736687	1.44477599747	[]	[]
2	1	[]	[]	1.60525461911	1.57499153226	1.45686586787	[]	[]
3	0	[]	1.4496572495	1.61937776058	1.32855260282	1.45978881561	1.44069405106	[]
3	1	[]	1.7716182836	1.6016953011	1.45773516853	1.61035895675	1.25928823522	[]
4	0	[]	[]	1.64570863501	1.4254520641	1.73851153201	[]	[]
4	1	[]	[]	1.47961237136	1.44339348235	1.46962475047	[]	[]
5	0	[]	[]	[]	1.41323302765	[]	[]	[]
5	1	[]	[]	[]	1.41146846516	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
