b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.820578681589	[]	[]
1	1	[]	[]	0.753086528832	[]	[]
1	2	[]	[]	0.84892795246	[]	[]
1	3	[]	[]	0.78833983315	[]	[]
2	0	[]	0.757030752921	0.638174897738	0.657077008382	[]
2	1	[]	0.664406395506	0.648756106658	0.761351837793	[]
2	2	[]	0.78089197798	0.68016004954	0.70026040088	[]
2	3	[]	0.696095092828	0.694322757669	0.799942292676	[]
3	0	[]	[]	0.765449339184	[]	[]
3	1	[]	[]	0.826330118007	[]	[]
3	2	[]	[]	0.785856640877	[]	[]
3	3	[]	[]	0.853496629866	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
