a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.91038994946	[]	[]
1	1	[]	[]	2.69255280937	[]	[]
1	2	[]	[]	2.86212352166	[]	[]
1	3	[]	[]	2.68724341116	[]	[]
2	0	[]	2.36444204337	1.81329033771	2.83575629305	[]
2	1	[]	2.54313300769	1.22495364699	1.40295627937	[]
2	2	[]	2.70103515232	2.23127610562	2.35933782676	[]
2	3	[]	2.18605944086	2.09645580554	2.61173762927	[]
3	0	[]	[]	2.91699150728	[]	[]
3	1	[]	[]	2.68770866995	[]	[]
3	2	[]	[]	2.91263223975	[]	[]
3	3	[]	[]	2.77588014479	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
