b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.36444204337	[]	[]
1	1	[]	[]	2.54313300769	[]	[]
1	2	[]	[]	2.70103515232	[]	[]
1	3	[]	[]	2.18605944086	[]	[]
2	0	[]	2.46990696917	1.8106134875	2.45708807579	[]
2	1	[]	2.7733024416	2.46484121017	2.75446713764	[]
2	2	[]	2.81256017869	2.2250767692	2.82056220065	[]
2	3	[]	2.40232897205	2.08897128222	2.42153969704	[]
3	0	[]	[]	2.29892944959	[]	[]
3	1	[]	[]	2.85659794919	[]	[]
3	2	[]	[]	2.59141587801	[]	[]
3	3	[]	[]	2.33483527096	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
