[[-1.0486962  -1.48070397  0.12844667]]
[[-0.10051427  0.04973597  0.01541486]]
[[-0.06300692 -0.3107865   0.00888861]]
[[-0.07554906 -0.40845461  0.00469757]]
[[-0.00509362 -0.00348626 -0.10191087]]
[[-0.00052231  0.00410342 -0.09429705]]
[[ 0.7790411  -1.26671562 -0.07396326]]
[[ 0.77891007  0.04778153 -0.08014697]]
[[-0.00885393 -0.00271492  0.10053193]]
[[-0.00407986  0.00395389  0.09320343]]
[[ 0.83932124  1.54685596 -0.09926536]]
[[ 0.12449481  0.39005043 -0.00232409]]
[[-0.01085056 -0.17586048  0.00364129]]
[[ 0.00508773 -0.26398493 -0.00078175]]
[[ 0.00228674 -0.01346337 -0.0884609 ]]
[[ 0.00629812 -0.00770727 -0.08036417]]
[[-0.09019267 -0.38844762  0.01342635]]
[[-0.80408755 -1.32367965  0.08140389]]
[[-0.00082635 -0.01286716  0.08836804]]
[[ 0.00347728 -0.00786571  0.08003891]]
[[-0.00042557 -0.00087501 -0.03908897]]
[[ 0.00078595  0.00114672 -0.03672388]]
[[ 0.00346697 -0.0021789  -0.08663333]]
[[ 0.00678036  0.00289246 -0.07911406]]
[[-0.69303699 -0.21792299  0.08192112]]
[[-0.70149105  1.4129113   0.09773461]]
[[ 0.00025411 -0.00152253  0.08612926]]
[[ 0.0038471   0.00272601  0.07877486]]
[[-0.00231847 -0.00074177  0.03844587]]
[[-0.00105554  0.00105332  0.03632534]]
[[ 0.00301299  0.00915522 -0.08735007]]
[[ 0.00581005  0.01390739 -0.08032085]]
[[ 0.13157777  0.41914283 -0.01053493]]
[[ 0.08363909  0.27212745  0.00041471]]
[[-0.00029636  0.00967933  0.0862967 ]]
[[ 0.00278373  0.01360501  0.07992389]]
[[ 0.04182008  0.23299125 -0.00109808]]
[[ 0.03086685  0.15427849  0.0019814 ]]
[[ 0.01312349 -0.10822973  0.00081819]]
[[ 0.03339788 -0.12624514 -0.00235034]]
[[ 0.00695328 -0.02151403 -0.07609703]]
[[ 0.01051397 -0.01760102 -0.07316196]]
[[ 0.03321082 -0.16478294  0.00070579]]
[[ 0.08763335 -0.24097766 -0.00550212]]
[[ 0.00442874 -0.02108182  0.076428  ]]
[[ 0.00814496 -0.01785462  0.07283612]]
[[ 0.00194503 -0.00410855 -0.03841755]]
[[ 0.00312031 -0.00258896 -0.03598051]]
[[ 0.00866996 -0.01146876 -0.07540796]]
[[ 0.01169015 -0.00755904 -0.07031998]]
[[ 0.07430589 -0.59939877  0.00336901]]
[[ 1.00222374 -1.47519223 -0.11145466]]
[[ 0.00611765 -0.01094499  0.07552208]]
[[ 0.00930048 -0.00774543  0.07011088]]
[[ 0.00014975 -0.00396791  0.03837833]]
[[ 0.00136971 -0.00269201  0.03606849]]
[[ 0.00084678 -0.00026234 -0.02159028]]
[[ 0.00132347  0.0003677  -0.02139677]]
[[ 0.00196926 -0.00058704 -0.0350997 ]]
[[ 0.00313609  0.00083699 -0.03442771]]
[[ 0.00954405 -0.00109878 -0.07379028]]
[[ 0.01209399  0.00204969 -0.0693401 ]]
[[ 0.12883713 -0.01693982 -0.00436822]]
[[ 1.03460097  1.21484619 -0.09030553]]
[[ 0.00692214 -0.00058634  0.07365945]]
[[ 0.00960889  0.00182244  0.06922902]]
[[ 0.00017039 -0.00046114  0.03497313]]
[[ 0.00137737  0.00076854  0.03455448]]
[[-0.00018088 -0.00019412  0.02153836]]
[[ 0.00030887  0.00029861  0.02146959]]
[[ 0.00192233  0.00288036 -0.03643206]]
[[ 0.00316253  0.00437768 -0.03753172]]
[[ 0.00924906  0.00906723 -0.07366892]]
[[ 0.01146611  0.01205742 -0.07016953]]
[[ 0.12425618  0.60109472 -0.00963281]]
[[ 0.12052287  0.21136118 -0.00269586]]
[[ 0.00651621  0.00946826  0.07323385]]
[[ 0.00888718  0.01175851  0.07019535]]
[[ 0.0001333   0.00300626  0.03622141]]
[[ 0.00141152  0.0042716   0.03766441]]
[[ 0.00784237  0.01935646 -0.07489398]]
[[ 0.01030256  0.02178434 -0.07058019]]
[[ 0.06542766  0.18492789 -0.00301993]]
[[ 0.05231838  0.11923647 -0.00051915]]
[[ 0.00506568  0.01966805  0.07418958]]
[[ 0.00773828  0.02144746  0.07066805]]
