[[-0.09775015 -0.01322767  0.05783748]]
[[-0.11349131  0.04379841  0.05687841]]
[[-0.11361056 -0.09707396  0.0554746 ]]
[[-0.27965121 -0.10126597  0.06681956]]
[[-0.00290973 -0.01067862 -0.02698674]]
[[ 0.97444604  1.28759614 -0.12013808]]
[[-0.19214449 -0.02058684  0.06165534]]
[[-0.27694247  0.16239362  0.06835855]]
[[-0.01010896 -0.00141335  0.06170761]]
[[-0.00726759  0.00340412  0.05838807]]
[[-0.11082929  0.06714277  0.05290627]]
[[-0.07212807  0.11847507  0.04773342]]
[[-0.03511151 -0.11437679  0.03942563]]
[[-0.04050948 -0.19276895  0.03674817]]
[[ 0.20074804 -0.30902801 -0.0499357 ]]
[[ 0.32158039 -0.22616028 -0.06107451]]
[[-0.17537451 -0.28063875  0.05738746]]
[[-0.92824958 -1.22599028  0.12807582]]
[[-0.005076   -0.00740262  0.06055631]]
[[-0.00230135 -0.00340879  0.05554708]]
[[ 0.00360825 -0.00197918 -0.086234  ]]
[[ 0.00666386  0.00301622 -0.07759158]]
[[ 1.09257937  0.09528636 -0.14325963]]
[[ 0.33835202  0.11242416 -0.05625173]]
[[-1.00737434 -0.11191315  0.14684117]]
[[-0.91719618  1.43503125  0.15050388]]
[[-0.0046583  -0.00057488  0.05637169]]
[[-0.00214471  0.00282284  0.05328376]]
[[-0.00243142 -0.000497    0.02897281]]
[[-0.00150195  0.00093262  0.02751188]]
[[ 0.20573531  0.34756819 -0.04963748]]
[[ 0.08553916  0.14366011 -0.03546795]]
[[-0.17771531  0.23864521  0.05310438]]
[[-0.0369967   0.198429    0.04099247]]
[[-0.00473044  0.00575264  0.05621268]]
[[-0.00234714  0.00925944  0.05473243]]
[[-0.03196598  0.10249423  0.03813593]]
[[-0.00787714  0.09077072  0.03319811]]
[[ 0.00133621 -0.08068924  0.02710702]]
[[ 0.01498261 -0.09498656  0.02516922]]
[[ 0.03763438 -0.09077368 -0.03876813]]
[[ 0.06232381 -0.09005533 -0.04078154]]
[[ 0.00470743 -0.12570479  0.03146011]]
[[ 0.0490428  -0.20057137  0.02636073]]
[[-0.0004128  -0.013622    0.05916066]]
[[ 0.00205703 -0.01074115  0.05701256]]
