[[-0.38462035 -0.18263465  0.03016459]]
[[-1.12609772  0.1524995   0.11020397]]
[[-0.15641942 -0.29512915  0.0122719 ]]
[[-0.27290416 -0.65659383  0.01462571]]
[[-0.00863727 -0.00418391 -0.09331584]]
[[-0.00431855  0.00330239 -0.08838172]]
[[-1.10779404 -1.45990203  0.12121439]]
[[-0.26390398  0.15610842  0.02113691]]
[[-0.01144995 -0.00369618  0.09353801]]
[[-0.00688791  0.00294196  0.08845961]]
[[-1.03828022  1.29069636  0.09393248]]
[[-0.06192487  0.67025345  0.01054796]]
[[-0.02661459 -0.18347871  0.00388976]]
[[-0.00798229 -0.28526132 -0.00091085]]
[[-0.00126263 -0.0131135  -0.08529294]]
[[ 0.00269677 -0.00713889 -0.07866204]]
[[-0.12569374 -0.46198304  0.01444211]]
[[-0.74358355 -1.50059249  0.07209838]]
[[-0.0037393  -0.01273541  0.08551673]]
[[ 0.00050057 -0.00752598  0.07841188]]
[[-0.00097392 -0.00108754 -0.03856088]]
[[ 0.00026739  0.00102424 -0.03643423]]
[[-0.00045658 -0.00290596 -0.08276015]]
[[ 0.00308586  0.00236003 -0.07758096]]
[[-0.06073812 -1.33757547  0.01398886]]
[[ 0.10397153  1.3171723   0.00703282]]
[[-0.00279998 -0.00240171  0.0827867 ]]
[[ 0.00091204  0.00199805  0.07740727]]
[[-0.00278221 -0.0009699   0.03807556]]
[[-0.00150153  0.00091042  0.03615176]]
[[-0.00058476  0.00703124 -0.08443348]]
[[ 0.00272286  0.01245884 -0.08020249]]
[[ 0.758035    1.66905003 -0.09863538]]
[[ 0.15232075  0.42669808 -0.00655128]]
[[-0.00300437  0.00759553  0.08414153]]
[[ 0.0003784   0.01206679  0.08011966]]
[[ 0.01478178  0.29581585 -0.00232427]]
[[ 0.02482541  0.17771907  0.00154343]]
[[ 0.00894612 -0.11318902  0.00088315]]
[[ 0.0303158  -0.13301441 -0.00242449]]
[[ 0.00458168 -0.02140952 -0.07668569]]
[[ 0.00814462 -0.01719053 -0.07454023]]
[[ 0.0271319  -0.17642721  0.00084533]]
[[ 0.08759604 -0.2578719  -0.00573744]]
[[ 0.00225874 -0.02101149  0.07697454]]
[[ 0.0059434  -0.01749004  0.07408322]]
[[ 0.00144166 -0.00425593 -0.03818146]]
[[ 0.00263906 -0.00264843 -0.03592933]]
[[ 0.00562833 -0.01153032 -0.07552468]]
[[ 0.00881527 -0.00737079 -0.07154102]]
[[ 0.08155269 -0.64151565  0.00279589]]
[[ 1.03560713 -1.51774134 -0.11394147]]
[[ 0.00344937 -0.01104845  0.07551694]]
[[ 0.00671488 -0.00763864  0.07105848]]
[[-0.000297   -0.00413963  0.03821662]]
[[ 0.00093526 -0.00278042  0.0360674 ]]
[[ 0.00068748 -0.00033566 -0.021533  ]]
[[ 0.00116768  0.00032547 -0.02138588]]
[[ 0.00146895 -0.00078066 -0.0349261 ]]
[[ 0.00266287  0.00072858 -0.03445547]]
[[ 0.00613722 -0.00186079 -0.0737225 ]]
[[ 0.00914811  0.00166141 -0.07081413]]
[[ 0.29180164 -0.09672457 -0.01914097]]
[[ 1.13159634  1.20142708 -0.09754284]]
[[ 0.00404782 -0.00139619  0.07343733]]
[[ 0.00703012  0.00128807  0.07039153]]
[[-0.00026912 -0.00066979  0.03487931]]
[[ 0.00095246  0.00063872  0.03464132]]
[[-0.00032712 -0.00027166  0.0215269 ]]
[[ 0.00016413  0.00025127  0.02150055]]
[[ 0.00144334  0.00262342 -0.03636359]]
[[ 0.00271204  0.00421386 -0.0376816 ]]
[[ 0.00610605  0.00748763 -0.07425895]]
[[ 0.00901349  0.01118801 -0.07251062]]
[[ 0.28836378  0.7097583  -0.02593453]]
[[ 0.1577318   0.24089794 -0.00476906]]
[[ 0.00393649  0.00786067  0.07378858]]
[[ 0.00677604  0.01072223  0.07237525]]
[[-0.00028721  0.00274631  0.03625206]]
[[ 0.00100562  0.00409528  0.03789717]]
[[ 0.00547432  0.0175834  -0.07685055]]
[[ 0.00858385  0.02098563 -0.07388264]]
[[ 0.07803461  0.22608172 -0.00474884]]
[[ 0.05692266  0.13463679 -0.00083725]]
[[ 0.00313566  0.01793093  0.07628986]]
[[ 0.00625478  0.02054873  0.0740082 ]]
[[ 0.02428756  0.13505588 -0.00160599]]
[[ 0.02665681  0.10196946 -0.00042225]]
[[ 0.06592318 -0.13409866 -0.00167281]]
[[ 0.11359491 -0.15169562 -0.00628937]]
[[ 0.01174131 -0.01035719 -0.07204918]]
[[ 0.01490438 -0.00784879 -0.07038411]]
[[ 0.24302607 -0.27256146 -0.01193568]]
[[ 0.34397041 -0.194219   -0.02316709]]
[[ 0.00953756 -0.00983529  0.0718742 ]]
[[ 0.01264745 -0.00807828  0.0697284 ]]
[[ 0.00390178 -0.00049603 -0.03507373]]
[[ 0.00519736  0.00050262 -0.03629148]]
[[ 0.01195956 -0.00094225 -0.06908105]]
[[ 0.01506204  0.00104239 -0.068623  ]]
[[ 1.12035682  0.09790665 -0.10519163]]
[[ 0.36303228  0.0877734  -0.02163534]]
[[ 0.00978897 -0.00054646  0.06858008]]
[[ 0.01278265  0.00066602  0.06807672]]
[[ 0.00220186 -0.00039162  0.03547485]]
[[ 0.0035181   0.00037916  0.03685817]]
[[ 0.01202585  0.00805786 -0.07004903]]
[[ 0.01539965  0.01047283 -0.07156043]]
[[ 0.28647056  0.31291051 -0.01898895]]
[[ 0.13975539  0.11338488 -0.00456442]]
[[ 0.00979934  0.00829728  0.06946539]]
[[ 0.01307896  0.00994246  0.07129887]]
[[ 0.09440837  0.1541972  -0.00482858]]
[[ 0.07233474  0.09644999 -0.00293522]]
[[ 0.15469528 -0.08139143 -0.00626376]]
[[ 0.15309614 -0.06038185 -0.00720811]]
[[ 0.01811022 -0.0001141  -0.06900719]]
[[ 0.02127838  0.00066391 -0.06935826]]
[[ 0.24922424  0.01678883 -0.01252697]]
[[ 0.15867912  0.01060059 -0.00656996]]
[[ 0.01577484  0.00023427  0.06838216]]
[[ 0.01896042  0.00025996  0.06869413]]
[[ 0.16796813  0.10319866 -0.0079264 ]]
[[ 0.11210425  0.05582911 -0.0051134 ]]
[[ 0.12998424  0.00861523 -0.00611805]]
[[ 0.10878051  0.00222021 -0.00621049]]
