[[-0.09959285 -0.01794282 -0.03086303]]
[[-0.11697064  0.03854915 -0.0333079 ]]
[[-0.11661416 -0.09933875 -0.02580867]]
[[-0.28386912 -0.10402142 -0.01513368]]
[[-0.00894398 -0.0027547  -0.06028447]]
[[-0.0062559   0.0026775  -0.05762173]]
[[-0.19599561 -0.02632178 -0.0257198 ]]
[[-0.28194174  0.15662171 -0.01912056]]
[[-0.11400402 -0.12380056  0.05131286]]
[[-0.2298949  -0.24625909  0.05824903]]
[[-0.1154849   0.05895318 -0.03768199]]
[[-0.07732875  0.11216253 -0.04080907]]
[[-0.03818168 -0.11521221 -0.02331368]]
[[-0.04433937 -0.19366338 -0.02664047]]
[[-0.00404265 -0.00856616 -0.05906044]]
[[-0.0014538  -0.00395709 -0.05484794]]
[[-0.17957324 -0.28378875 -0.01608398]]
[[-0.93313509 -1.22941664  0.05326855]]
[[-0.02535577 -0.10056358  0.04370639]]
[[-0.00774213 -0.13696748  0.03756169]]
[[-0.00135118 -0.00093618 -0.02925044]]
[[-0.00042907  0.00073262 -0.02777509]]
[[-0.00373351 -0.00195805 -0.05554767]]
[[-0.00134102  0.00208543 -0.05313609]]
[[-1.01241018 -0.11841512  0.06417313]]
[[-0.92239656  1.42910118  0.06817764]]
[[-0.06269208 -0.22034263  0.04533679]]
[[-0.00945127 -0.58247325  0.03374926]]
[[-0.00802161 -0.00797544  0.07201465]]
[[-0.0048644  -0.00323547  0.07316925]]
[[-0.00379209  0.00417483 -0.05632323]]
[[-0.00142955  0.00845077 -0.05535282]]
[[-0.18292562  0.2302542  -0.03276352]]
[[-0.04163245  0.19246643 -0.04074677]]
[[-0.96332363 -1.4625388   0.15793587]]
[[-0.00657458  0.00818757  0.04463649]]
[[-0.03664804  0.09554452 -0.04511985]]
[[-0.01154758  0.08736713 -0.0430336 ]]
[[-0.00090046 -0.08108954 -0.01987931]]
[[ 0.01232215 -0.09533233 -0.02332129]]
[[ 0.00065835 -0.01472768 -0.05771908]]
[[ 0.00303406 -0.01124952 -0.0564829 ]]
[[ 0.00146169 -0.1274463  -0.02301765]]
[[ 0.04539957 -0.2024305  -0.02982614]]
[[ 0.00115979 -0.07136128  0.04059434]]
[[ 0.01419644 -0.07946833  0.0374243 ]]
[[ 0.00046394 -0.00322589 -0.0294691 ]]
[[ 0.00134556 -0.00191766 -0.02783194]]
[[ 0.0008393  -0.00775487 -0.05494716]]
[[ 0.00302382 -0.0043976  -0.05283639]]
[[ 0.00461473 -0.55726247 -0.02464252]]
[[ 0.92718491 -1.43981152 -0.14111902]]
[[ 0.00946357 -0.09604929  0.03851481]]
[[ 0.03821402 -0.11916528  0.03349908]]
[[-0.00130093 -0.01473846  0.06445972]]
[[ 0.00173302 -0.01190093  0.06444736]]
[[ 0.00031435 -0.00034433 -0.0173721 ]]
[[ 0.00068243  0.0002114  -0.01731454]]
[[ 0.00046892 -0.00070707 -0.02679895]]
[[ 0.0013493   0.00051534 -0.02663994]]
[[ 0.00086849 -0.00136703 -0.05233754]]
[[ 0.00306856  0.00160369 -0.05160025]]
[[ 0.00311017 -0.005194   -0.03676984]]
[[ 0.93961381  1.21888828 -0.12613281]]
[[ 0.04783155 -0.20879022  0.0354788 ]]
[[ 0.19599871 -0.30127774  0.01875526]]
[[-0.00125273 -0.00749042  0.06708921]]
[[ 0.00192222 -0.00417281  0.06998006]]
[[-0.00096989 -0.00149327  0.03290718]]
[[ -5.75440419e-05  -3.92145672e-04   3.32620930e-02]]
[[ 0.00045063  0.00172165 -0.02795402]]
[[ 0.00138554  0.0030077  -0.02929004]]
[[ 0.00086078  0.00461643 -0.05243618]]
[[ 0.00313771  0.00782203 -0.0531473 ]]
[[ 0.00111072  0.54673767 -0.04744546]]
[[ 0.04852256  0.18130759 -0.04338541]]
[[ 0.95088193 -1.24546947 -0.05111349]]
[[ 1.0446412  -0.11021789 -0.06841199]]
[[-0.00156689  0.00097032  0.0768068 ]]
[[ 0.00186069  0.00503659  0.08124016]]
[[ 0.00075134  0.01120075 -0.05524765]]
[[ 0.00325426  0.01430998 -0.05545601]]
[[ 0.00178372  0.11707015 -0.04484935]]
[[ 0.0146671   0.0828074  -0.04210258]]
[[ 0.934407    1.49111287 -0.07050023]]
[[ 0.19566983  0.29972779  0.02509363]]
[[ 0.0003      0.07459463 -0.04239963]]
[[ 0.00880657  0.06549562 -0.03915135]]
[[ 0.03804451 -0.10386671 -0.02440012]]
[[ 0.07796519 -0.1204044  -0.03013954]]
[[ 0.00548695 -0.00729004 -0.05531703]]
[[ 0.00777719 -0.00504636 -0.05492649]]
[[ 0.18612083 -0.23990654 -0.03847304]]
[[ 0.28375677 -0.16600163 -0.05093633]]
[[ 0.03388439 -0.07652316  0.03678171]]
[[ 0.05751587 -0.08302103  0.03342036]]
[[ 0.00226617 -0.00051068 -0.02734197]]
[[ 0.0032115   0.00034011 -0.02853115]]
[[ 0.00530521 -0.00084902 -0.05211901]]
[[ 0.00770327  0.00111318 -0.05308421]]
[[ 1.01699475  0.1084037  -0.1358075 ]]
[[ 0.28642433  0.09290324 -0.05450297]]
[[ 0.08793005 -0.10955978  0.03186978]]
[[ 0.13237551 -0.10009034  0.02724814]]
[[ 0.00505041 -0.00666512  0.06666905]]
[[ 0.00839108 -0.00459071  0.07126901]]
[[ 0.00533048  0.00517152 -0.05266739]]
[[ 0.00802451  0.00747534 -0.05555408]]
[[ 0.18392848  0.27192851 -0.05447762]]
[[ 0.07962714  0.09229083 -0.04233602]]
[[ 0.31162406 -0.10380191  0.01306747]]
[[ 0.22836075 -0.01026021  0.02088762]]
[[ 0.0382328   0.10187726 -0.04410652]]
[[ 0.03633333  0.06734627 -0.04254416]]
[[ 0.11501355 -0.06814359 -0.03195534]]
[[ 0.11459998 -0.04743865 -0.03366017]]
[[ 0.01024294 -0.000363   -0.0548931 ]]
[[ 0.01280025  0.00069987 -0.05627615]]
[[ 0.19555348  0.0164916  -0.04179861]]
[[ 0.11529831  0.01230508 -0.03688128]]
[[ 0.08230618 -0.04938225  0.03251673]]
[[ 0.09550021 -0.04099694  0.03074805]]
[[ 0.11464553  0.08426443 -0.04188396]]
[[ 0.07347015  0.0446286  -0.04031264]]
[[ 0.0956836   0.00600519 -0.03325073]]
[[ 0.07962316  0.00206276 -0.03419836]]
