[[-0.09988949 -0.00479328 -0.02583177]]
[[-0.11608652  0.05149169 -0.02177192]]
[[-0.1203335 -0.0838335 -0.0376171]]
[[-0.28629358 -0.08619142 -0.01933659]]
[[-0.00903234  0.00034494 -0.05980336]]
[[-0.00630226  0.00571002 -0.05607355]]
[[-0.19722172 -0.01064291 -0.02117244]]
[[-0.28203045  0.17191645 -0.00713761]]
[[-0.07383391  0.05678388  0.0464543 ]]
[[-0.04783785  0.07521255  0.0431019 ]]
[[-0.11398336  0.07142094 -0.02004603]]
[[-0.07560262  0.12215145 -0.01771923]]
[[-0.0415732  -0.1038217  -0.05412794]]
[[-0.04625808 -0.17786961 -0.0511389 ]]
[[-0.00419611 -0.00528772 -0.0610312 ]]
[[-0.00158375 -0.00062976 -0.05563267]]
[[-0.18262904 -0.26667956 -0.03115652]]
[[-0.93486248 -1.21044643  0.04701811]]
[[-0.2450105   0.27685699  0.06445412]]
[[-0.07745967  0.24254282  0.04784768]]
[[ -1.36963169e-03   4.07921408e-05  -2.91044686e-02]]
[[-0.00045954  0.00168381 -0.02738764]]
[[-0.00389863  0.00123066 -0.05523875]]
[[-0.00145692  0.00520018 -0.0518008 ]]
[[-1.01399236 -0.10077316  0.0676806 ]]
[[-0.9233755   1.44588805  0.07963865]]
[[-0.06185089  0.10778679  0.0421842 ]]
[[-0.02445802  0.09736854  0.03865527]]
[[-0.00948403  0.00983859  0.0674225 ]]
[[-0.00567591  0.01384916  0.05914622]]
[[-0.00387275  0.00711333 -0.0538795 ]]
[[-0.00153038  0.01120126 -0.05200222]]
[[-0.18284857  0.24407467 -0.01456166]]
[[-0.04184972  0.20349343 -0.01777498]]
[[-0.02727877  0.06503145  0.03892632]]
[[-0.01225621  0.06401356  0.03787752]]
[[-0.03554483  0.10333287 -0.01898321]]
[[-0.01129539  0.09179868 -0.01596463]]
[[-0.00071782 -0.07760239 -0.05670913]]
[[ 0.01411141 -0.08778741 -0.05799269]]
[[ 0.00063935 -0.01174775 -0.06193029]]
[[ 0.00306255 -0.00804999 -0.05955189]]
[[ 0.00116726 -0.11583457 -0.05464037]]
[[ 0.04642067 -0.1875007  -0.05418198]]
[[-0.00604829 -0.00648396  0.04307566]]
[[ 0.98557924  1.29771111 -0.05550086]]
[[ 0.00044655 -0.00217155 -0.0298387 ]]
[[ 0.00131716 -0.00090145 -0.02794097]]
[[ 0.00072839 -0.00448741 -0.05693312]]
[[ 0.00295541 -0.00112537 -0.05368481]]
[[ 0.00364956 -0.53969457 -0.04127222]]
[[ 0.92686899 -1.42129641 -0.14841497]]
[[-0.03103322  0.639678    0.03840141]]
[[ 0.04807922  0.2405079   0.03532668]]
[[-0.0033593   0.0046921   0.08731197]]
[[ 0.00062732  0.00837136  0.07599507]]
[[  2.98630045e-04   9.67588432e-05  -1.73083002e-02]]
[[ 0.00066671  0.00064705 -0.01716504]]
[[ 0.00042791  0.00025417 -0.02668265]]
[[ 0.00130509  0.0014574  -0.02628369]]
[[ 0.00070498  0.00184964 -0.05214832]]
[[ 0.00289475  0.00471666 -0.0503981 ]]
[[ 0.00170366  0.01312487 -0.03469711]]
[[ 0.93807998  1.23574614 -0.11629238]]
[[-0.01313714  0.14765114  0.03595295]]
[[ 0.01029485  0.09878679  0.03502515]]
[[-0.00302193  0.0114623   0.06505466]]
[[ 0.00042649  0.01350407  0.05820464]]
[[-0.00111199  0.00175616  0.0325469 ]]
[[-0.00016609  0.00278446  0.03183694]]
[[ 0.00039943  0.00266868 -0.02735963]]
[[ 0.00133842  0.00395163 -0.02844379]]
[[ 0.000677    0.00755765 -0.05024567]]
[[ 0.00289422  0.01057064 -0.05001607]]
[[ -3.28170232e-04   5.61055904e-01  -3.01655268e-02]]
[[ 0.04640425  0.19278473 -0.02216779]]
