[[-0.10042135 -0.00978929 -0.02665927]]
[[-0.11724526  0.04715855 -0.02482853]]
[[-0.11982791 -0.09091806 -0.03183522]]
[[-0.28679534 -0.09345168 -0.01771571]]
[[-0.00930199 -0.00088474 -0.05987189]]
[[-0.00659221  0.00462388 -0.05661294]]
[[-0.19791815 -0.01665269 -0.02238778]]
[[-0.28341439  0.16694873 -0.01112761]]
[[-0.09534298  0.02221062  0.04497788]]
[[-0.0815015   0.07001038  0.04254083]]
[[-0.11550956  0.06749538 -0.02483146]]
[[-0.07729249  0.11965076 -0.02377749]]
[[-0.04134989 -0.11013977 -0.03868495]]
[[-0.0472543  -0.18579961 -0.04073677]]
[[-0.00444969 -0.00668961 -0.06026548]]
[[-0.00185024 -0.00192611 -0.05544892]]
[[-0.18304567 -0.27483973 -0.02518295]]
[[-0.93628214 -1.21825343  0.04754542]]
[[-0.22764528 -0.03644903  0.05359422]]
[[-0.3095319   0.17607992  0.05904784]]
[[-0.00146311 -0.00034891 -0.02918095]]
[[-0.00054356  0.00133677 -0.02757278]]
[[ -4.15101874e-03  -2.90161298e-05  -5.53997768e-02]]
[[-0.00172713  0.00409262 -0.05242438]]
[[-1.01521221 -0.1076046   0.06548175]]
[[-0.92502834  1.44064504  0.07421097]]
[[-0.13319016  0.07238105  0.04266716]]
[[-0.0865981   0.13182472  0.03961006]]
[[-0.01124612  0.00321349  0.0712602 ]]
[[-0.00769528  0.00902837  0.06655825]]
[[-0.00414806  0.00604397 -0.05480319]]
[[-0.00179014  0.01031971 -0.05329363]]
[[-0.18445614  0.23989092 -0.0204432 ]]
[[-0.04339032  0.20106228 -0.02478914]]
[[-0.05784052  0.07232761  0.0386755 ]]
[[-0.0324847   0.08643257  0.0377024 ]]
[[-0.0370759   0.10152992 -0.02557594]]
[[-0.01253188  0.09139765 -0.02262174]]
[[-0.00214498 -0.08030196 -0.03775949]]
[[ 0.0115503  -0.0925324  -0.04193676]]
[[ 0.00035133 -0.01312727 -0.06033303]]
[[ 0.00274855 -0.00941474 -0.05857818]]
[[-0.00052709 -0.12273807 -0.04039732]]
[[ 0.04381999 -0.19534356 -0.04624293]]
