[[-0.10064878 -0.0172558  -0.02221746]]
[[-0.11869631  0.03909264 -0.02413   ]]
[[-0.11890373 -0.09828669 -0.01960344]]
[[-0.28694067 -0.10272739 -0.00906847]]
[[-0.00960529 -0.00279486 -0.05918855]]
[[-0.00695725  0.00275253 -0.05673212]]
[[-0.19852328 -0.02575833 -0.01788897]]
[[-0.28531739  0.15737973 -0.01144948]]
[[-0.07219321 -0.04175681  0.04470154]]
[[-0.09467332 -0.02271757  0.04234024]]
[[-0.11797985  0.05870144 -0.02828305]]
[[-0.08060171  0.11215168 -0.03199349]]
[[-0.0407001  -0.11458664 -0.02031129]]
[[-0.04747497 -0.1927365  -0.02421269]]
[[-0.00471903 -0.00859815 -0.05840505]]
[[-0.00215736 -0.00386142 -0.05441699]]
[[-0.18287645 -0.28326047 -0.01194664]]
[[-0.93722671 -1.22854518  0.05649864]]
[[-0.04363495 -0.06796321  0.04308697]]
[[-0.05489754 -0.07528586  0.03829399]]
[[-0.00157653 -0.00096314 -0.02907496]]
[[-0.00064998  0.00075317 -0.02765006]]
[[-0.00444739 -0.00201607 -0.05489895]]
[[-0.00207464  0.00215864 -0.05270893]]
[[-1.01637864 -0.11827519  0.06964472]]
[[-0.92720429  1.42981369  0.07226845]]
[[-0.08008105 -0.07194247  0.04112401]]
[[-0.13640983 -0.07423542  0.04023513]]
[[-0.01257432 -0.0086728   0.06545018]]
[[-0.01031802 -0.00307896  0.0690001 ]]
[[-0.00451556  0.00407563 -0.05564148]]
[[-0.00215752  0.00850544 -0.05488793]]
[[-0.18715696  0.2298828  -0.02601407]]
[[-0.04648072  0.19295491 -0.03597443]]
[[-0.1399583  -0.04080972  0.04334254]]
[[-0.2312413   0.0488465   0.04890088]]
[[-0.04050758  0.09468224 -0.03791648]]
[[-0.01562672  0.0875163  -0.0381543 ]]
[[-0.0028696  -0.08104967 -0.019044  ]]
[[ 0.00998589 -0.09513733 -0.02312985]]
[[  4.00901775e-05  -1.47822361e-02  -5.74641986e-02]]
[[ 0.00238655 -0.0111916  -0.05643226]]
[[-0.00132051 -0.12751844 -0.02191353]]
[[ 0.04212862 -0.20230565 -0.02977044]]
[[-0.01268001 -0.06845071  0.04054343]]
[[-0.00866444 -0.07868588  0.03733272]]
[[ 0.00024938 -0.00325012 -0.02938227]]
[[ 0.00113071 -0.00189504 -0.02779457]]
[[ 0.00015813 -0.00782427 -0.05471552]]
[[ 0.00231638 -0.00433994 -0.05282435]]
[[ 0.00081373 -0.55757479 -0.0232751 ]]
[[ 0.92285401 -1.4397142  -0.14150402]]
[[-0.02768258 -0.086945    0.03868383]]
[[-0.03290757 -0.11880482  0.03418963]]
[[-0.00556615 -0.01592869  0.06288522]]
[[-0.00315951 -0.01262802  0.06571757]]
[[ 0.00021344 -0.00035759 -0.01733114]]
[[ 0.00058054  0.00021928 -0.01728914]]
[[ 0.00025312 -0.00073301 -0.02672099]]
[[ 0.00113108  0.00053394 -0.02660688]]
[[ 0.00013884 -0.00145376 -0.05212878]]
[[ 0.00232827  0.00167251 -0.05161043]]
[[-0.00169698 -0.00575383 -0.03525254]]
[[ 0.93440829  1.21920422 -0.12729291]]
[[-0.08587814 -0.13913163  0.03875126]]
[[-0.20314968 -0.27482245  0.04248849]]
[[-0.00664819 -0.00890539  0.06599356]]
[[-0.0040209  -0.00453313  0.07298345]]
[[-0.00177335 -0.00169317  0.03310937]]
[[-0.00087507 -0.00039902  0.03376221]]
[[ 0.0002321   0.00169001 -0.02787359]]
[[ 0.00116163  0.0030206  -0.02925277]]
[[ 0.00012186  0.00451904 -0.05222425]]
[[ 0.00240348  0.00789836 -0.05315064]]
[[-0.00425567  0.54617745 -0.04578519]]
[[ 0.04311488  0.18218391 -0.04476832]]
[[-0.32446805 -0.17657584  0.05697771]]
[[-1.0784513   0.14748374  0.13933226]]
[[-0.00762247 -0.00022826  0.07632695]]
[[-0.00439742  0.00566808  0.08524523]]
[[  3.62302380e-05   1.11018491e-02  -5.50006550e-02]]
[[ 0.00254752  0.01438131 -0.0554148 ]]
[[-0.00321849  0.11669472 -0.0427368 ]]
[[ 0.00999279  0.0839655  -0.04246404]]
[[-0.31720532  0.15644546  0.05545384]]
[[-0.19348694  0.35732277  0.04938843]]
[[-0.0035798   0.07422307 -0.03983125]]
[[ 0.00533619  0.06625796 -0.03834376]]
[[ 0.03534694 -0.10469036 -0.02518627]]
[[ 0.07503989 -0.12105756 -0.0323276 ]]
[[ 0.00480784 -0.00740984 -0.05548395]]
[[ 0.00707941 -0.00502387 -0.05531736]]
[[ 0.18250157 -0.24107018 -0.03999473]]
[[ 0.28007897 -0.1667049  -0.05463601]]
[[ -2.07758238e-05  -1.00635822e-01   3.64969628e-02]]
[[ 0.01946651 -0.14428014  0.03088624]]
[[ 0.00204418 -0.0005408  -0.02734964]]
[[ 0.00297927  0.00035507 -0.02858293]]
[[ 0.00458234 -0.00096408 -0.05232578]]
[[ 0.00697797  0.00117164 -0.05351704]]
[[ 1.01246727  0.10714099 -0.13872816]]
[[ 0.28214852  0.09266713 -0.06046075]]
[[-0.03390723 -0.2339195   0.03453682]]
[[ 0.03094597 -0.62126039  0.0178409 ]]
[[-0.00022327 -0.0089042   0.07199473]]
[[ 0.00321015 -0.00571508  0.0814449 ]]
[[ 0.00459348  0.00507714 -0.05289845]]
[[ 0.00729052  0.00755464 -0.05600388]]
[[ 0.17883326  0.27119673 -0.05886359]]
[[ 0.07511879  0.09323349 -0.04960935]]
[[-0.95198109 -1.49102724  0.13951894]]
[[ 0.00326827  0.00592336  0.02313445]]
[[ 0.03330724  0.10208899 -0.04820463]]
[[ 0.03218385  0.06914352 -0.04821442]]
[[ 0.11214723 -0.06985252 -0.03590098]]
[[ 0.11208064 -0.04864647 -0.03960906]]
[[ 0.0095463  -0.00050065 -0.05550559]]
[[ 0.01211804  0.00073249 -0.05711349]]
[[ 0.19222896  0.01485625 -0.04799169]]
[[ 0.11263786  0.0116749  -0.04555274]]
[[ 0.08366048 -0.20893433  0.02622796]]
[[ 0.24058709 -0.31473998  0.00435173]]
[[ 0.11104422  0.08348036 -0.05063776]]
[[ 0.07072213  0.04531041 -0.05091114]]
[[ 0.09380795  0.00439772 -0.0410614 ]]
[[ 0.0784903   0.00128229 -0.04357947]]
